,,,,,,,,,,,,
483,Jewish Record,Jewish Record,Jewish Record,0002573,JWRC,England,1868,1871,"Yes, fully",1868,1871,
178,Johnson's Sunday Monitor,Johnson's Sunday Monitor,Johnson's British gazette and Sunday monitor.,0002794,JSMN,England,1804,1805,"Yes, fully",1804,1805,
179,Johnson's Sunday Monitor,Johnson's Sunday Monitor,"Johnson's Sunday monitor, and British gazette.",0002795,JSMN,England,1805,1813,"Yes, fully",1805,1813,
180,Johnson's Sunday Monitor,Johnson's Sunday Monitor,Johnson's Sunday monitor and London recorder.,0002796,JSMN,England,1813,1814,"Yes, fully",1814,1814,"96: jan-feb, 97: feb-dec, no overlap"
181,Johnson's Sunday Monitor,Johnson's Sunday Monitor,Sunday monitor and London recorder.,0002797,JSMN,England,1814,1814,"Yes, fully",1814,1814,"96: jan-feb, 97: feb-dec, no overlap"
182,Johnson's Sunday Monitor,Johnson's Sunday Monitor,Sunday monitor.,0002798,JSMN,England,1815,1829,"Yes, fully",1815,1829,
455,Kenilworth Advertiser,Kenilworth Advertiser,The Kenilworth Advertiser.,0003066,KEAD,England,1869,1879,"Yes, fully",1869,1879,Not separated in the data
534,Kenilworth Advertiser,Kenilworth Advertiser,Kenilworth Advertiser,0003066,KEAD,England,1880,1904,"Yes, fully",1880,1904,Not separated in the data
535,Kenilworth Advertiser,Kenilworth Advertiser,Kenilworth Advertiser,0003066,KEAD,England,1905,1923,"Yes, fully",1905,1923,
527,Lancaster Standard and County Advertiser,Lancaster Standard and County Advertiser,Lancaster Standard and County Advertiser,0003047,LSCA,England,1893,1904,"Yes, fully",1893,1904,
528,Lancaster Standard and County Advertiser,Lancaster Standard and County Advertiser,Lancaster Standard and County Advertiser,0003047,LSCA,England,1905,1909,"Yes, fully",1905,1909,
602,Leeds Intelligencer,Leeds Intelligencer,Leeds Intelligencer,0000193,LSIR,,,,"Yes, not originally lsit",1819,1866,
607,Leeds Intelligencer,Leeds Intelligencer,Leeds Intelligencer,0000236,LSIR,,,,"Yes, not originally lsit",1754,1809,
608,Leeds Intelligencer,Leeds Intelligencer,Wright's Leeds Intelligencer,0000268,LSIR,,,,"Yes, not originally lsit",1810,1818,
590,Leicester Chronicle,Leicester Chronicle,Leicester Chronicle,0000172,LECH,,,,"Yes, not originally lsit",1827,1864,
591,Leicester Chronicle,Leicester Chronicle,Leicester Chronicle,0000173,LECH,,,,"Yes, not originally lsit",1865,1900,
578,Liverpool Mercury,Liverpool Mercury,Liverpool Mercury etc,0000081,LVMR,,,,"Yes, not originally lsit",1811,1900,
364,Liverpool Standard and General Commercial Advertiser,Liverpool Standard and General Commercial Advertiser,The Liverpool Standard and General Commercial Advertiser,0002088,LSGA,England,1832,1854,"Yes, fully",1832,1854,
365,Liverpool Standard and General Commercial Advertiser,Liverpool Standard and General Commercial Advertiser,Liverpool Standard and General Advertiser,0002089,LSGA,England,1854,1855,"Yes, fully",1854,1855,
366,Liverpool Standard and General Commercial Advertiser,Liverpool Standard and General Commercial Advertiser,Liverpool Standard and General Commercial Advertiser,0002090,LSGA,England,1855,1856,"Yes, fully",1855,1856,
456,Liverpool Weekly Courier,Liverpool Weekly Courier,Liverpool Weekly Courier.,0003067,LWC,England,1867,1879,"Yes, fully",1867,1869,Not separated in the data
536,Liverpool Weekly Courier,Liverpool Weekly Courier,Liverpool Weekly Courier,0003067,LWC,England,1880,1903,"Yes, fully",1872,1903,"Not separated in the data, missing years 1891, 1894, 1896"
388,Lloyd's Companion to the Penny Sunday Times and Peoples' Police Gazette,Lloyd's Companion to the Penny Sunday Times and Peoples' Police Gazette,"Lloyd's Companion to the ""Penny Sunday Times and Peoples' Police Gazette"".  (19 Sept. 1841 - 3 Jan 1847)",0002355,LCPP,England,1841,1847,"Yes, fully",1841,1847,
33,Lloyd's Weekly Newspaper,Lloyd's Weekly Newspaper,Lloyd's Illustrated Newspaper,0000077,LINP,England,1842,1843,"Yes, fully",1842,1843,
34,Lloyd's Weekly Newspaper,Lloyd's Weekly Newspaper,Lloyd's Weekly London Newspaper,0000078,LINP,England,1844,1848,"Yes, fully",1844,1848,
35,Lloyd's Weekly Newspaper,Lloyd's Weekly Newspaper,Lloyd's Weekly Newspaper,0000079,LINP,England,1849,1900,"Yes, fully",1849,1900,
36,London & Provincial News and General Advertiser,London & Provincial News and General Advertiser,The London & Provincial News and General Advertiser.,0004310,LPNGA,England,1861,1867,"Yes, fully",1861,1867,
345,London Dispatch,London Dispatch,London Dispatch,0000080,LNDH,England,1836,1839,"Yes, fully",1836,1839,
196,London Halfpenny Newspaper,London Halfpenny Newspaper,London Halfpenny Newspaper.,0002801,LHPN,England,1861,1861,"Yes, fully",1861,1861,
197,London Journal and General Advertiser for Town and Country,London Journal and General Advertiser for Town and Country,London Journal and General Advertiser for Town and Country.,0002995,LJGA,England,1836,1837,"Yes, fully",1836,1837,
40,London Life,London Life,London Life,0004213,LNLF,England,1879,1879,"Yes, fully",1879,1879,
203,London Moderator and National Adviser,London Moderator and National Adviser,London Moderator and National Adviser,0002761,LMNA,England,1813,1823,"Yes, fully",1813,1823,
206,London Railway Newspaper,London Railway Newspaper,London Railway Newspaper.,0003000,LRNW,England,1845,1845,"Yes, fully",1845,1845,
42,The London News Letter and Price Current,London News Letter and Price Current,The London News Letter and Price Current,0004199,LNPC,England,1859,1865,"Yes, fully",1859,1865,
557,Manchester Examiner,Manchester Examiner,Manchester Examiner,0003398,MEXM,England,1847,1847,"Yes, more than in the list",1846,1848,
208,Manchester Times,Manchester Times,Manchester Examiner and Times,0000502,MRTM,England,1849,1855,"Yes, fully",1849,1855,
209,Manchester Times,Manchester Times,Manchester Weekly Examiner & Times,0000503,MRTM,England,1856,1857,"Yes, fully",1856,1857,
210,Manchester Times,Manchester Times,Manchester Weekly Times and Examiner,0000504,MRTM,England,1857,1900,"Yes, fully",1858,1900,
347,Manchester Times,Manchester Times,"Manchester Times and Gazette, The",0000083,MRTM,England,1829,1848,"Yes, partially",1831,1848,
360,Manchester Times,Manchester Times,Manchester Times,0000501,MRTM,England,1828,1829,"Yes, fully",1828,1829,
389,Mirror of the Times,Mirror of the Times,Mirror of the Times.  Various dates: (1800-1823),0002356,MRTT,England,1800,1823,"Yes, partially",1801,1823,
346,Morning Chronicle,Morning Chronicle,Morning Chronicle,0000082,MCLN,England,1801,1865,"Yes, fully",1801,1865,
403,Morning Herald,Morning Herald (London),Morning Herald. (1801-1869),0002408,MRHD,England,1801,1869,"Yes, fully",1801,1869,
592,Morning Post,Morning Post,Morning Post,0000174,MOPT,,,,"Yes, not originally lsit",1804,1900,
593,Morning Post,Morning Post,Morning Post,0000175,MOPT,,,,"Yes, not originally lsit",1801,1803,
215,"Nantwich, Sandbach & Crewe Star","Nantwich, Sandbach & Crewe Star","Nantwich, Sandbach & Crewe Star.",0003406,NSCS,England,1888,1892,"Yes, fully",1888,1892,
431,National Register,National Register (London),National Register,0002644,NTRG,England,1808,1823,"Yes, partially",1810,1810,
542,"Nelson Chronicle, Colne Observer and Clitheroe Division News","Nelson Chronicle, Colne Observer and Clitheroe Division News","Nelson Chronicle, Colne Observer and Clitheroe Division News",0003077,NCCO,England,1890,1904,"Yes, fully",1890,1904,
219,New Court Gazette,New Court Gazette,New Court Gazette :,0002426,NCGA,England,1840,1841,"Yes, fully",1840,1841,
220,New Court Gazette,New Court Gazette,"The Court Gazette, and Fashionable Guide.",0002427,NCGA,England,1841,1846,"Yes, fully",1841,1846,
222,New Times,New Times (London),New Times.,0002357,NWTM,England,1818,1828,"Yes, fully",1818,1828,
223,New Times,New Times (London),The Morning Journal.,0002358,NWTM,England,1828,1830,"Yes, fully",1828,1830,
227,Nonconformist Elector,Nonconformist Elector,Nonconformist Elector.,0002359,NCEF,England,1847,1847,"Yes, fully",1847,1847,
228,North London Record,North London Record,North London Record.,0003109,NLRD,England,1858,1858,"Yes, fully",1858,1858,
229,North London Record,North London Record,The North London Record and General Advertiser.,0003110,NLRD,England,1858,1859,"Yes, fully",1858,1859,
230,North London Record,North London Record,North London Record.,0003111,NLRD,England,1859,1860,"Yes, fully",1859,1860,
231,North London Record,North London Record,The Clerkenwell Journal and North London Record.,0003112,NLRD,England,1860,1869,"Yes, fully",1860,1869,
45,North Wales Chronicle,North Wales Chronicle,North Wales Chronicle,0000094,NRWC,Wales,1827,1900,"Yes, fully",1827,1900,
579,Northern Echo,Northern Echo,Northern Echo,0000087,NREC,,,,"Yes, not originally lsit",1870,1900,
349,Northern Liberator,Northern Liberator,Northern Liberator,0000088,NRLR,England,1837,1840,"Yes, fully",1837,1840,
350,Northern Star and Leeds General Advertiser,Northern Star and Leeds General Advertiser,Northern Star and Leeds General Advertiser,0000090,NRSR,England,1838,1844,"Yes, fully",1838,1844,
358,Northern Star and Leeds General Advertiser,Northern Star and Leeds General Advertiser,"Northern Star and National Trades' Journal, The",0000091,NRSR,England,1844,1852,"Yes, fully",1845,1852,
457,Northern Weekly Gazette,Northern Weekly Gazette,Stockton Gazette and Middlesbrough Times.,0003069,NWGZ,England,1860,1865,"Yes, fully",1860,1865,
458,Northern Weekly Gazette,Northern Weekly Gazette,Middlesbro' & Stockton Gazette and General Advertiser.,0003070,NWGZ,England,1868,1871,"Yes, partially",1868,1868,
459,Northern Weekly Gazette,Northern Weekly Gazette,The Middlesbrough Gazette and General Advertiser.,0003071,NWGZ,England,1869,1869,"Yes, fully",1869,1869,Not separated in the data
460,Northern Weekly Gazette,Northern Weekly Gazette,Middlesbrough & Stockton Gazette and General Advertiser.,0003072,NWGZ,England,1869,1876,"Yes, fully",1869,1876,
537,Northern Weekly Gazette,Northern Weekly Gazette,The Middlesbrough Gazette and General Advertiser,0003071,NWGZ,England,1868,1868,"Yes, fully",1868,1868,Not separated in the data
538,Northern Weekly Gazette,Northern Weekly Gazette,"The Weekly Gazette for Middlesbrough, Stockton, Hartlepool and Cleveland District",0003073,NWGZ,England,1876,1883,"Yes, fully",1876,1883,Not separated in the data
539,Northern Weekly Gazette,Northern Weekly Gazette,The North-Eastern Weekly Gazette.,0003074,NWGZ,England,1883,1895,"Yes, fully",1883,1895,
540,Northern Weekly Gazette,Northern Weekly Gazette,Northern Weekly Gazette,0003075,NWGZ,England,1895,1904,"Yes, fully",1895,1904,
541,Northern Weekly Gazette,Northern Weekly Gazette,Northern Weekly Gazette,0003075,NWGZ,England,1905,1932,"Yes, fully",1905,1932,
239,Old England,Old England,Old England,0002782,OLEN,England,1832,1842,"Yes, fully",1832,1842,
626,Orr's Kentish Journal,Orr's Kentish Journal,Orr's Kentish Journal,0004137,OKJL,,,,"Yes, not originally lsit",1860,1866,
47,Oxford Journal,Oxford Journal,Jackson's Oxford Journal,0000073,JOJL,England,1800,1895,"Yes, more than in the list",1753,1895,
48,Oxford Journal,Oxford Journal,Jackson's Oxford Journal,0000075,JOJL,England,1898,1900,"Yes, partially",1899,1900,
650,Passing Events,Passing Events,Passing Events,0004212,PSEV,,,,"Yes, not originally lsit",1873,1873,
247,Pen and Pencil,Pen and Pencil,Pen and Pencil :,0003033,PNPC,England,1855,1855,"Yes, fully",1855,1855,
543,"Penistone, Stocksbridge and Hoyland Express","Penistone, Stocksbridge and Hoyland Express","Penistone, Stocksbridge, Hoyland and Ecclesfield & Chapeltown express",0003079,PSHE,England,1898,1898,"Yes, fully",1898,1898,
544,"Penistone, Stocksbridge and Hoyland Express","Penistone, Stocksbridge and Hoyland Express","Penistone, Stocksbridge, Hoyland & Chapeltown express",0003080,PSHE,England,1898,1903,"Yes, fully",1898,1903,
545,"Penistone, Stocksbridge and Hoyland Express","Penistone, Stocksbridge and Hoyland Express","Penistone, Stocksbridge and Hoyland express",0003081,PSHE,England,1904,1904,"Yes, fully",1904,1904,
546,"Penistone, Stocksbridge and Hoyland Express","Penistone, Stocksbridge and Hoyland Express","Penistone, Stocksbridge and Hoyland express",0003081,PSHE,England,1905,1940,"Yes, fully",1905,1940,
390,Pictorial Times,Pictorial Times,Pictorial Times.  (18 March 1843 - 8 Jan.1848),0002361,PICT,England,1843,1848,"Yes, fully",1843,1848,
250,Picture Times,Picture Times,Picture Times.,0003006,PITM,England,1855,1856,"Yes, fully",1855,1856,
402,"Pierce Egan's Life in London, and Sporting Guide","Pierce Egan's Life in London, and Sporting Guide",Pierce Egan's Life in London.  (1 Feb. 1824 - 28 Oct. 1827),0002385,PELL,England,1824,1827,"Yes, fully",1824,1827,
464,Poole Telegram,Poole Telegram,The Poole Telegram.,0003083,POTG,England,1879,1879,"Yes, fully",1879,1879,Not separated in the data
548,Poole Telegram,Poole Telegram,Poole Telegram,0003083,POTG,England,1880,1886,"Yes, fully",1880,1886,Not separated in the data
258,Preston Pilot,Preston Pilot,The Preston Pilot and County Advertiser.,0003084,PRPL,England,1842,1842,"Yes, fully",1842,1842,
259,Preston Pilot,Preston Pilot,Preston Pilot and Lancashire Advertiser.,0003085,PRPL,England,1877,1879,"Yes, fully",1877,1879,
50,Reynold's Newspaper,Reynold's Newspaper,Reynold's Weekly Newspaper,0000100,RDNP,England,1850,1851,"Yes, fully",1850,1851,
51,Reynold's Newspaper,Reynold's Newspaper,Reynolds's Newspaper,0000101,RDNP,England,1852,1900,"Yes, fully",1852,1900,
551,Ripon Observer,Ripon Observer,Ripon Observer,0003092,RIOB,England,1889,1904,"Yes, fully",1889,1904,
552,Ripon Observer,Ripon Observer,Ripon Observer,0003092,RIOB,England,1905,1922,"Yes, fully",1905,1922,
594,Royal Cornwall Gazette,Royal Cornwall Gazette,"Royal Cornwall Gazette, Falmouth Packet & Plymouth Journal",0000177,COGE,,,,"Yes, not originally lsit",1811,1835,
595,Royal Cornwall Gazette,Royal Cornwall Gazette,Royal Cornwall Gazette,0000178,COGE,,,,"Yes, not originally lsit",1836,1848,
596,Royal Cornwall Gazette,Royal Cornwall Gazette,"Royal Cornwall Gazette, Falmouth Packet, and General Advertized",0000180,COGE,,,,"Yes, not originally lsit",1849,1900,
273,Royal York,Royal York,"Royal York (London, England : 1827)",0002423,RYRK,England,1827,1827,"Yes, fully",1827,1827,
417,Runcorn Examiner,Runcorn Examiner,Runcorn and Widnes Examiner.,0002608,RUEX,England,1870,1876,"Yes, fully",1870,1876,
418,Runcorn Examiner,Runcorn Examiner,Runcorn Examiner.,0002609,RUEX,England,1877,1879,"Yes, fully",1877,1879,Not separated in the data
490,Runcorn Examiner,Runcorn Examiner,Runcorn Examiner,0002609,RUEX,England,1880,1904,"Yes, fully",1880,1904,Not separated in the data
491,Runcorn Examiner,Runcorn Examiner,Runcorn Examiner,0002609,RUEX,England,1905,1920,"Yes, fully",1905,1920,
274,Sainsbury's Weekly Register and Advertising Journal,Sainsbury's Weekly Register and Advertising Journal,Sainsbury's Weekly Register and Advertising Journal :,0002810,SWRJ,England,1859,1864,"Yes, fully",1859,1864,
276,Sheffield Public Advertiser,Sheffield Public Advertiser,Public Advertiser.,0003101,SHPA,England,1760,1761,"Yes, fully",1760,1761,
277,Sheffield Public Advertiser,Sheffield Public Advertiser,Sheffield Public Advertiser.,0003102,SHPA,England,1762,1776,"Yes, fully",1762,1776,
278,Sheffield Public Advertiser,Sheffield Public Advertiser,Sheffield Advertiser.,0003103,SHPA,England,1787,1793,"Yes, fully",1787,1793,
634,South London Advertiser,South London Advertiser,South London Advertiser,0004191,SLAD,,,,"Yes, not originally lsit",1863,1866,
279,South London Times and Lambeth Observer,South London Times and Lambeth Observer,The South London Times and County Advertiser.,0003255,SLTL,England,1856,1858,"Yes, fully",1856,1858,
280,South London Times and Lambeth Observer,South London Times and Lambeth Observer,"Lambeth Observer, The South London Times, etc.",0003256,SLTL,England,1858,1864,"Yes, fully",1858,1864,
281,South London Times and Lambeth Observer,South London Times and Lambeth Observer,South London Times and Lambeth Observer.,0003257,SLTL,England,1864,1865,"Yes, fully",1864,1865,
354,Southern Star,Southern Star,Southern Star,0000102,SNSR,England,1840,1840,"Yes, fully",1840,1840,
282,Southwark Mercury,Southwark Mercury,Southwark Mercury.,0003262,SWME,England,1879,1879,"Yes, fully",1879,1879,
283,Southwark Mercury,Southwark Mercury,Southwark Mercury and South London News.,0003263,SWME,England,1879,1881,"Yes, fully",1879,1881,Why in red?
623,Sport,Sport,Sport,0004134,SPRT,,,,"Yes, not originally lsit",1880,1880,
420,Stalybridge Examiner,Stalybridge Examiner,"Stalybridge Examiner, and Ashton, Dukinfield and Mossley Advertiser.",0002611,STEX,England,1876,1876,"Yes, fully",1876,1876,
438,"Stockton Herald, South Durham and Cleveland Advertiser","Stockton Herald, South Durham and Cleveland Advertiser","Stockton Herald, South Durham and Cleveland Advertiser.",0002975,SHSD,England,1858,1879,"Yes, fully",1858,1879,Not separated in the data
516,"Stockton Herald, South Durham and Cleveland Advertiser","Stockton Herald, South Durham and Cleveland Advertiser","Stockton Herald, South Durham and Cleveland Advertiser",0002975,SHSD,England,1880,1892,"Yes, fully",1880,1892,Not separated in the data
517,"Stockton Herald, South Durham and Cleveland Advertiser","Stockton Herald, South Durham and Cleveland Advertiser",The Stockton & Thornaby Herald and South Durham Advertiser,0002976,SHSD,England,1891,1904,"Yes, fully",1891,1904,
518,"Stockton Herald, South Durham and Cleveland Advertiser","Stockton Herald, South Durham and Cleveland Advertiser",The Stockton & Thornaby Herald and South Durham Advertiser,0002976,SHSD,England,1905,1918,"Yes, fully",1905,1918,
422,Stretford and Urmston Examiner,Stretford and Urmston Examiner,Stretford and Urmston Examiner.,0002614,STUE,England,1879,1879,"Yes, fully",1879,1879,Not separated in the data
512,Stretford and Urmston Examiner,Stretford and Urmston Examiner,Stretford and Urmston Examiner,0002614,STUE,England,1880,1880,"Yes, fully",1880,1880,Not separated in the data
648,Sunday Gazette,Sunday Gazette,"Sunday Gazette, London",0004210,SUGA,,,,"Yes, not originally lsit",1866,1867,
290,Sunday News,Sunday News,Sunday News.,0003113,SUNW,England,1823,1823,"Yes, fully",1823,1823,
291,Surrey & Middlesex Standard,Surrey & Middlesex Standard,"The Surrey Standard, and Surrey, Middlesex, Sussex, Kent, Hants & Berks Advertiser.",0003266,SMSD,England,1835,1837,"Yes, fully",1835,1837,
292,Surrey & Middlesex Standard,Surrey & Middlesex Standard,"Surrey & Middlesex Standard, and Agricultural, Commercial, and General Advertiser.",0003267,SMSD,England,1837,1840,"Yes, fully",1837,1840,
622,Surrey & Middlesex Standard,Surrey & Middlesex Standard,"Surrey Standard, Windsor and Eton Journal and Middlesex Herald, etc",0003268,SMSD,,,,"Yes, not originally lsit",1840,1840,
635,Surrey Herald and County Advertiser,Surrey Herald and County Advertiser,Surrey Herald and County Advertiser,0004192,SHCA,,,,"Yes, not originally lsit",1826,1826,
624,Surrey Mercury,Surrey Mercury,"Surrey Mercury; Guildford, Kingston, Epsom, Dorking, Croydon, Reigate, Farnham & Chertsey Agricultural Journal",0004135,SURY,,,,"Yes, not originally lsit",1845,1847,
439,Swansea and Glamorgan Herald,Swansea and Glamorgan Herald,"Swansea and Glamorgan Herald, and South Wales Free Press.",0002977,SGHL,Wales,1847,1879,"Yes, fully",1847,1879,Not separated in the data
519,Swansea and Glamorgan Herald,Swansea and Glamorgan Herald,"Swansea and Glamorgan Herald, and South Wales Free Press",0002977,SGHL,Wales,1880,1890,"Yes, fully",1880,1890,Not separated in the data
553,Swansea Journal and South Wales Liberal,Swansea Journal and South Wales Liberal,The South Wales Liberal and Swansea Journal,0003097,SJWL,Wales,1893,1893,"Yes, fully",1893,1893,
554,Swansea Journal and South Wales Liberal,Swansea Journal and South Wales Liberal,Swansea Journal and South Wales Liberal,0003098,SJWL,Wales,1893,1902,"Yes, fully",1893,1902,
293,Thacker's Overland News for India and the Colonies,Thacker's Overland News for India and the Colonies,"Thacker's Overland News for India, and the Colonies.",0002808,TONI,England,1857,1863,"Yes, fully",1857,1863,
294,Thacker's Overland News for India and the Colonies,Thacker's Overland News for India and the Colonies,"Thacker's Overland News for India, China, and the East.",0002809,TONI,England,1864,1864,"Yes, fully",1864,1864,
404,The Age (London),Age (London),The Age :,0002413,TALN,England,1825,1843,"Yes, fully",1825,1843,
57,The Age (London),Age (London),The Age and Argus :,0002414,TALN,England,1825,1845,"Yes, partially",1843,1845,
58,The Age 1852,Age 1852,The Age.,0003023,AGE52,England,1852,1853,"Yes, fully",1852,1853,
59,The Agricultural Advertiser and Tenant-Farmers' Advocate,Agricultural Advertiser and Tenant-Farmers' Advocate,The Agricultural Advertiser and Tenant-Farmers' Advocate.,0003031,AATA,England,1846,1846,"Yes, fully",1846,1846,
60,The Albion,Albion,The Albion :,0003027,ALBN,England,1852,1853,"Yes, fully",1852,1853,
61,The Albion and the Star ,Albion and the Star ,The Albion.,0002362,ALST,England,1830,1831,"Yes, fully",1830,1831,
62,The Albion and the Star ,Albion and the Star ,The Albion and the Star.,0002363,ALST,England,1831,1835,"Yes, fully",1831,1835,
63,The Anti-Gallican Monitor,Anti-Gallican Monitor,The Anti-Gallican Monitor.,0002364,AGMO,England,1811,1811,"Yes, fully",1811,1811,
64,The Anti-Gallican Monitor,Anti-Gallican Monitor,"The Anti-Gallican Monitor, and Anti-Corsican Chronicle.",0002365,AGMO,England,1811,1814,"Yes, fully",1811,1814,
65,The Anti-Gallican Monitor,Anti-Gallican Monitor,The Anti-Gallican Monitor.,0002366,AGMO,England,1815,1817,"Yes, fully",1815,1817,
66,The Anti-Gallican Monitor,Anti-Gallican Monitor,The British Monitor.,0002367,AGMO,England,1818,1825,"Yes, fully",1818,1825,
391,"The Argus, or, Broad-sheet of the Empire","Argus, or, Broad-sheet of the Empire","The Argus, or, Broad-sheet of the Empire.   (3 Feb.1839-30 Sept.1843)",0002368,ARGB,England,1839,1843,"Yes, fully",1839,1843,
445,"The Atherstone, Nuneaton, and Warwickshire Times","Atherstone, Nuneaton, and Warwickshire Times",The Atherstone Times.,0003044,ANWT,England,1879,1879,"Yes, fully",1879,1879,
446,"The Atherstone, Nuneaton, and Warwickshire Times","Atherstone, Nuneaton, and Warwickshire Times","The Atherstone, Nuneaton, and Warwickshire Times.",0003045,ANWT,England,1879,1879,"Yes, fully",1879,1879,Not separated in the data
493,"The Atherstone, Nuneaton, and Warwickshire Times","Atherstone, Nuneaton, and Warwickshire Times","The Atherstone, Nuneaton, and Warwickshire Times",0003045,ANWT,England,1880,1891,"Yes, fully",1880,1891,Not separated in the data
67,The Aurora Borealis,Aurora Borealis,The Aurora Borealis,0002638,AUBO,England,1821,1821,"Yes, fully",1821,1821,
68,The Ballot,Ballot,The Ballot.,0002585,BLOT,England,1831,1832,"Yes, fully",1831,1832,
443,The Barrow Herald and Furness Advertiser,Barrow Herald and Furness Advertiser,The Barrow Herald and Furness Advertiser.,0003042,BHFA,England,1863,1879,"Yes, more than in the list",1862,1904,Not separated in the data
498,The Barrow Herald and Furness Advertiser,Barrow Herald and Furness Advertiser,The Barrow Herald and Furness Advertiser,0003042,BHFA,England,1911,1914,"Yes, more than in the list",1905,1914,Not separated in the data
603,The Bath Chronicle,Bath Chronicle,Pope's Bath Chronicle,0000211,BHCH,,,,"Yes, not originally lsit",1762,1768,
604,The Bath Chronicle,Bath Chronicle,The Bath and Bristol Chronicle,0000219,BHCH,,,,"Yes, not originally lsit",1769,1770,
605,The Bath Chronicle,Bath Chronicle,Bath Chronicle,0000220,BHCH,,,,"Yes, not originally lsit",1760,1761,
606,The Bath Chronicle,Bath Chronicle,Bath Chronicle,0000221,BHCH,,,,"Yes, not originally lsit",1771,1800,
393,The Beacon (Edinburgh),Beacon (Edinburgh),The Beacon (Edinburgh)  6 Jan-22 Sept   1821,0002370,BCE1,England,1821,1821,"Yes, fully",1821,1821,
392,The Beacon (London),Beacon (London),The Beacon.  (London): 21 April-2 June 1822,0002369,BCL2,England,1822,1822,"Yes, fully",1822,1822,
373,The Bee-Hive,Bee-Hive,The Bee-Hive. (4 Oct.1862 - 12 Feb. 1870),0002247,BEHI,England,1862,1870,"Yes, fully",1862,1870,
