,,,,,,,,,,,,
375,The Bee-Hive,Bee-Hive,The Bee-Hive. (11 June 1870 - 30 Dec. 1876),0002249,BEHI,England,1870,1876,"Yes, fully",1870,1876,
569,The Belfast News-Letter,Belfast News-Letter,The Belfast News-Letter,0000038,BNWL,Ireland,,,"Yes, not originally lsit",1828,1900,
442,The Birkenhead News,Birkenhead News,The Birkenhead News and Wirral General Advertiser.,0003040,BKNW,England,1878,1879,"Yes, more than in the list",1878,1920,
75,The Blackburn Standard,Blackburn Standard,The Blackburn Standard,0000151,BLSD,England,1835,1876,"Yes, fully",1835,1876,
76,The Blackburn Standard,Blackburn Standard,"The Blackburn Standard, Darwen Observer, and North-East Lancashire Advertiser",0000152,BLSD,England,1877,1888,"Yes, fully",1877,1888,
77,The Blackburn Standard,Blackburn Standard,The Blackburn Standard and Weekly Express,0000153,BLSD,England,1888,1893,"Yes, fully",1889,1893,
78,The Blackburn Standard,Blackburn Standard,The Weekly Standard and Express,0000154,BLSD,England,1893,1900,"Yes, fully",1894,1900,
441,The Blackpool Herald,Blackpool Herald,The Blackpool Herald,0003037,BLHD,England,1874,1893,"Yes, fully",1874,1893,
563,The Blackpool Herald,Blackpool Herald,Blackpool Herald and Fylde Advertiser.,0003038,BLHD,England,1893,1904,"Yes, more than in the list",1894,1919,
448,The Blandford and Wimborne Telegram,Blandford and Wimborne Telegram,"Blandford, Wimborne and Poole Telegram.",0003054,BWTE,England,1874,1879,"Yes, fully",1874,1879,
449,The Blandford and Wimborne Telegram,Blandford and Wimborne Telegram,The Blandford and Wimbourne Telegram.,0003055,BWTE,England,1879,1879,"Yes, fully",1879,1879,Not separated in the data
500,The Blandford and Wimborne Telegram,Blandford and Wimborne Telegram,The Blandford and Wimbourne Telegram,0003055,BWTE,England,1880,1886,"Yes, fully",1880,1886,Not separated in the data
79,The Borough of Greenwich Free Press,Borough of Greenwich Free Press,The Borough of Greenwich Free Press and Kent and Surrey Commercial Advertiser. etc.,0003258,BGFP,England,1855,1863,"Yes, fully",1855,1863,
80,The Borough of Greenwich Free Press,Borough of Greenwich Free Press,"The Borough of Greenwich Free Press, and Blackheath Times.",0003259,BGFP,England,1863,1865,"Yes, fully",1863,1865,
85,The Bristol Mercury,Bristol Mercury,The Bristol Mercury,0000034,BLMY,England,1716,1877,"Yes, fully",1716,1877,
86,The Bristol Mercury,Bristol Mercury,"The Bristol Mercury and Daily Post, Western Counties and South Wales Advertiser",0000035,BLMY,England,1878,1900,"Yes, fully",1878,1900,
90,The British Banner,British Banner 1848,The British Banner.,0003028,BRBN,England,1848,1856,"Yes, fully",1848,1856,
91,The British Banner,British Banner 1856,The British Banner.,0003029,BRBN,England,1856,1858,"Yes, fully",1856,1858,
394,The British Emancipator,British Emancipator,The British Emancipator.  (27 Dec.1837-10 Jan.1840),0002372,BREM,England,1837,1840,"Yes, fully",1837,1840,
92,The British Ensign,British Ensign,The British Ensign,0002786,BREN,England,1859,1864,"Yes, fully",1859,1864,
395,The British Liberator,British Liberator,The British Liberator.  (13 Jan.-3 Nov.1833),0002373,BRLB,England,1833,1833,"Yes, fully",1833,1833,
93,The British Luminary,British Luminary,"The Weekly Intelligencer, and British Luminary.",0002378,BRLU,England,1820,1821,"Yes, fully",1820,1821,
396,The British Luminary,British Luminary,"The British Luminary; or, Weekly News and General Advertiser. (25 Jan.-27 June 1818)",0002374,BRLU,England,1818,1818,"Yes, fully",1818,1818,
397,The British Luminary,British Luminary,The British Luminary and National Intelligencer. (4 July-26 Sept.1818),0002375,BRLU,England,1818,1818,"Yes, fully",1818,1818,
398,The British Luminary,British Luminary,The British Luminary and Weekly Intelligence. (3 Oct.1818-21 May 1820),0002376,BRLU,England,1818,1820,"Yes, fully",1818,1820,
399,The British Luminary,British Luminary,"The British Luminary, or Weekly Intelligencer. (27 May-23 July 1820)",0002377,BRLU,England,1820,1820,"Yes, fully",1820,1820,
400,The British Luminary,British Luminary,"The Weekly Intelligencer, and British Luminary. (30 July 1820-27 May 1821)",0002378,BRLU,England,1820,1821,"Yes, fully",1820,1821,
401,The British Luminary,British Luminary,The British Luminary and Weekly Intelligencer. (3 June 1821-8 June 1823),0002379,BRLU,England,1821,1823,"Yes, fully",1821,1823,
96,The British Neptune,British Neptune,"The British Neptune, or, Naval, military, and commercial intelligencer, etc.",0002787,BRNP,England,1803,1823,"Yes, fully",1803,1823,
430,The British Press,British Press,"The British Press; or, Morning Literary Advertiser (Very incomplete)",0002643,BRPR,England,1803,1826,"Yes, partially",1823,1823,
97,The British Standard,British Standard,The British Standard.,0002383,BRST,England,1857,1866,"Yes, fully",1857,1866,
98,The British Statesman,British Statesman,The British Statesman.,0002384,BRSS,England,1842,1843,"Yes, fully",1842,1843,
4,"The Brunswick, or, True Blue",Brunswick or True Blue,"The Brunswick, or, True Blue",0003032,BRTB,England,1821,1821,"Yes, fully",1821,1821,
99,The Bury and Norwich Post,Bury and Norwich Post,The Bury and Norwich Post,0000156,BNPT,England,1786,1900,"Yes, partially",1801,1900,
415,The Cannock Chase Examiner,Cannock Chase Examiner,The Cannock Chase Examiner.,0002606,CCEX,England,1874,1877,"Yes, fully",1874,1877,
100,The Censor or Satirical Times,Censor or Satirical Times,The Censor; or Satirical Times.,0002574,CSTT,England,1846,1846,"Yes, fully",1846,1846,
450,The Central Glamorgan Gazette,Central Glamorgan Gazette,"The Central Glamorgan Gazette, and General, Commercial, and Agricultural Advertiser.",0003058,CGGA,Wales,1866,1879,"Yes, more than in the list",1867,1894,
101,The Champion (London),Champion (London),Drakard's Paper.,0002352,CHPL,England,1813,1813,"Yes, fully",1813,1813,
102,The Champion (London),Champion (London),The Champion.,0002353,CHPL,England,1814,1822,"Yes, fully",1814,1822,
103,The Champion (London),Champion (London),The Investigator.,0002354,CHPL,England,1822,1822,"Yes, fully",1822,1822,
333,The Champion ,The Champion ,The Champion,0000041,CHPN,England,1836,1836,"Yes, fully",1836,1836,
334,The Champion ,The Champion ,The Champion and Weekly Herald,0000042,CHPN,England,1837,1840,"Yes, fully",1837,1840,
335,The Charter,The Charter,"Charter, The",0000043,CHTR,England,1839,1840,"Yes, fully",1839,1840,
336,The Chartist,The Chartist,Chartist,0000044,CHTT,England,1839,1839,"Yes, more than in the list",1839,1841,
112,The City Chronicle,City Chronicle,The City Chronicle :,0002817,CICN,England,1840,1845,"Yes, fully",1840,1845,
620,The Civil & Military Gazette,Civil & Military Gazette,The Civil & Military Gazette,0003221,CMGA,,,,"Yes, not originally lsit",1945,1945,Probably not public domain???
114,The Clerkenwell Dial and Finsbury Advertiser,Clerkenwell Dial and Finsbury Advertiser,"The Clerkenwell Dial, and Finsbury Advertiser.",0003254,CLDF,England,1862,1865,"Yes, fully",1862,1865,
116,The Colonist and Commercial Weekly Advertiser,Colonist and Commercial Weekly Advertiser,The Colonist and Commercial Weekly Advertiser.,0002988,CCWA,England,1824,1824,"Yes, fully",1824,1824,"88: jan-march, 89: march-oct, 90:oct-dec, no overlap"
117,The Colonist and Commercial Weekly Advertiser,Colonist and Commercial Weekly Advertiser,The Colonist and Weekly Courier.,0002989,CCWA,England,1824,1824,"Yes, fully",1824,1824,"88: jan-march, 89: march-oct, 90:oct-dec, no overlap"
118,The Colonist and Commercial Weekly Advertiser,Colonist and Commercial Weekly Advertiser,The Sunday Herald.,0002990,CCWA,England,1824,1825,"Yes, fully",1824,1825,"88: jan-march, 89: march-oct, 90:oct-dec, no overlap"
119,The Commercial Chronicle,Commercial Chronicle (London) ,The Commercial Chronicle,0002785,CMCH,England,1804,1823,"Yes, fully",1804,1823,
121,The Constitution,Constitution,The Constitution.,0003020,CNSN,England,1831,1832,"Yes, fully",1831,1832,
669,The Constitution,Constitution (1827),The Constitution,0004694,CNSN,,,,"Yes, not originally lsit",1827,1827,
122,The Constitution,Constitution (London) ,The Constitution,0002757,CNSN,England,1818,1823,"Yes, fully",1818,1823,
123,The Constitution,Constitution (London) ,Observer of the Times and Constitution,0002758,CNSN,England,1823,1823,"Yes, fully",1823,1823,
633,The Cosmopolitan,Cosmopolitan,"The Cosmopolitan : An international newspaper of news, politics, literature, art, society",0004190,CSMP,,,,"Yes, not originally lsit",1865,1876,
484,The Cotton Factory Times,Cotton Factory Times,The Cotton Factory Times,0002596,CFTM,England,1885,1904,"Yes, fully",1885,1904,
485,The Cotton Factory Times,Cotton Factory Times,The Cotton Factory Times,0002596,CFTM,England,1905,1920,"Yes, fully",1905,1920,
638,The Courier,Courier and West-End Advertiser,"The Courier, and West-End Advertiser",0004200,COUR,,,,"Yes, not originally lsit",1869,1872,same NP as 0004201
639,The Courier,Courier and West-End Advertiser,The Courier,0004201,COUR,,,,"Yes, not originally lsit",1872,1872,
640,The Courier,Courier and West-End Advertiser,"The Courier, and West End Observer",0004202,COUR,,,,"Yes, not originally lsit",1872,1873,
641,The Courier,Courier and West-End Advertiser,The Courier,0004203,COUR,,,,"Yes, not originally lsit",1873,1880,
124,The Court Gazette and Fashionable Guide,Court Gazette and Fashionable Guide,"The Court Gazette, and Fashionable Guide.",0002424,CGFG,England,1838,1841,"Yes, fully",1838,1841,
125,The Court Gazette and Fashionable Guide,Court Gazette and Fashionable Guide,"The Court Gazette and Fashionable Guide : Glenny's Gardeners' Gazette edition (London, England : 1841)",0002425,CGFG,England,1841,1841,"Yes, fully",1841,1841,
662,The Crim. Con. Gazette,Crim. Con. Gazette,The Crim. Con. Gazette.,0004682,CCGZ,,,,"Yes, not originally lsit",1838,1840,
663,The Crim. Con. Gazette,Crim. Con. Gazette,The Bon Ton Gazette,0004683,CCGZ,,,,"Yes, not originally lsit",1840,1840,
126,The Crown,Crown,The Crown.,0002987,CRWN,England,1838,1839,"Yes, fully",1838,1839,
127,The Daily Director and Entr'acte,Daily Director and Entr'acte,L'Entr'acte :,0003024,DDEN,England,1859,1859,"Yes, fully",1859,1859,
128,The Daily Director and Entr'acte,Daily Director and Entr'acte,The Daily Director and Entr'acte.,0003025,DDEN,England,1859,1860,"Yes, fully",1859,1860,
295,The Day,The Day,The Day.,0002433,TDAY,England,1809,1816,"Yes, fully",1809,1816,
472,The Dewsbury Chronicle and West Riding Advertiser,The Dewsbury Chronicle and West Riding Advertiser,"The Dewsbury Chronicle, and West Riding Advertiser.",0003408,DCWR,England,1872,1875,"Yes, more than in the list",1869,1895,
625,The Dial,Dial,The Dial,0004136,TDIA,,,,"Yes, not originally lsit",1860,1864,
132,The Dissenter,Dissenter,The Dissenter.,0002431,DSNR,England,1812,1812,"Yes, fully",1812,1812,"Dissenter from january to june, Correspondent from july to september"
133,The Dissenter,Dissenter,The Correspondent.,0002432,DSNR,England,1812,1812,"Yes, fully",1812,1812,"Dissenter from january to june, Correspondent from july to september"
140,The East Riding Telegraph,East Riding Telegraph,Beverley and East Riding Telegraph.,0003048,ERTG,England,1895,1896,"Yes, fully",1895,1896,
529,The East Riding Telegraph,East Riding Telegraph,The East Riding Telegraph.,0003049,ERTG,England,1898,1903,"Yes, fully",1898,1903,
9,The Eastern Star,Eastern Star,The Eastern Star,0004691,EAST,England,1853,1853,"Yes, fully",1853,1853,
141,The Emigrant and the Colonial Advocate,Emigrant and the Colonial Advocate,The Emigrant and the Colonial Advocate.,0002434,ECLA,England,1848,1848,"Yes, fully",1848,1848,
142,The Emigrant and the Colonial Advocate,Emigrant and the Colonial Advocate,The Emigrant and Colonial Gazette.,0002435,ECLA,England,1848,1848,"Yes, more than in the list",1848,1849,
143,The English Chronicle and Whitehall Evening Post,English Chronicle and Whitehall Evening Post,The English Chronicle and Universal Evening Post.,0002630,ECWP,England,1801,1802,"Yes, fully",1801,1802,
144,The English Chronicle and Whitehall Evening Post,English Chronicle and Whitehall Evening Post,The English Chronicle and Whitehall Evening Post.,0002631,ECWP,England,1802,1843,"Yes, fully",1802,1843,
145,The Englishman,Englishman,"The Englishman; or, Sunday Express.",0002632,ENGL,England,1803,1813,"Yes, fully",1803,1813,
146,The Englishman,Englishman,The Englishman.,0002633,ENGL,England,1816,1834,"Yes, fully",1816,1834,
52,The Era,The Era,The Era,0000053,ERLN,England,1838,1900,"Yes, fully",1838,1900,
147,The Essex Standard,Essex Standard,The Essex Standard,0000165,ESSD,England,1831,1896,"Yes, fully",1831,1892,
148,The Essex Standard,Essex Standard,The Essex County Standard,0000166,ESSD,England,1891,1900,"Yes, fully",1893,1900,
149,The Evening Star,Evening Star (London),The Evening Star.,0002575,EVST,England,1842,1843,"Yes, fully",1842,1843,
11,The Evening Times (London),Evening Times (London),The Evening Times,0004686,EVTL,England,1852,1852,"Yes, fully",1852,1852,
12,The Evening Times 1825,Evening Times 1825,The Evening Times,0004738,EVT25,England,1825,1826,"Yes, fully",1825,1826,
344,The Examiner,The Examiner,Examiner,0000054,EXLN,England,1808,1880,"Yes, more than in the list",1808,1881,
429,The Express,Express (London),The Express,0002642,EXPR,England,1846,1869,"Yes, partially",1869,1869,
405,The Forest of Dean Examiner,Forest of Dean Examiner,The Forest of Dean Examiner,0002595,FODE,England,1873,1877,"Yes, fully",1873,1877,
159,The General Evening Post,General Evening Post,The General Evening Post.,0002593,GEVP,England,1801,1822,"Yes, fully",1801,1822,
465,The Glasgow Chronicle,Glasgow Chronicle,The Glasgow Chronicle.,0003088,GLCH,Scotland,1844,1857,"Yes, fully",1844,1857,
570,The Graphic,Graphic,The Graphic,0000057,GCLN,England,,,"Yes, not originally lsit",1870,1900,
165,The Hammersmith Advertiser,Hammersmith Advertiser,The Hammersmith Advertiser.,0003261,HMSA,England,1861,1866,"Yes, fully",1861,1866,
621,The Hammersmith Advertiser,Hammersmith Advertiser,Hammersmith & Brentford Advertiser,0003260,HMSA,,,,"Yes, not originally lsit",1861,1861,
18,The Hampshire Advertiser,Hampshire Advertiser,Hampshire Advertiser & Salisbury Guardian,0000494,SOHD,England,1831,1860,"Yes, fully",1832,1860,
19,The Hampshire Advertiser,Hampshire Advertiser,"Hampshire Advertiser & Salisbury Guardian Royal Yacht Club Gazette, Southampton Town and County Herald, Isle of Wight Journal, Winchester Chronicle, and General Reporter",0000493,SOHD,England,1831,1831,"Yes, fully",1830,1831,
20,The Hampshire Advertiser,Hampshire Advertiser,The Hampshire Advertiser,0000495,SOHD,England,1861,1900,"Yes, fully",1861,1900,
26,The Hebrew Observer,Hebrew Observer,The Hebrew Observer,0004684,HBOV,England,1853,1854,"Yes, fully",1853,1854,
561,The Herald of Wales,Herald of Wales,The Herald of Wales and Monmouthshire Recorder.,0003034,HOWL,Wales,1882,1886,"Yes, fully",1882,1886,
562,The Herald of Wales,Herald of Wales,The Herald of Wales.,0003035,HOWL,Wales,1886,1890,"Yes, fully",1886,1890,
631,The Illustrated Newspaper,Illustrated Newspaper,The Illustrated Newspaper,0004188,ILNP,,,,"Yes, not originally lsit",1871,1871,
576,The Illustrated Police News,Illustrated Police News,The Illustrated Police News etc,0000072,HPNW,England,,,"Yes, not originally lsit",1867,1900,
377,The Imperial Weekly Gazette,Imperial Weekly Gazette,The imperial weekly gazette. (20 Feb.-30 April 1808;  6 Jan.-2 June 1810),0002251,IWGZ,England,1808,1810,"Yes, fully",1808,1810,
378,The Imperial Weekly Gazette,Imperial Weekly Gazette,The Imperial weekly gazette and Westminster journal. (3 Jan 1818-8 Feb. 1823),0002252,IWGZ,England,1818,1823,"Yes, fully",1818,1823,
379,The Imperial Weekly Gazette,Imperial Weekly Gazette,Imperial Gazette. (15 Feb. 1823-22 Jan.1825),0002253,IWGZ,England,1823,1825,"Yes, fully",1824,1825,
173,The Instructor and Select Weekly Advertiser,Instructor and Select Weekly Advertiser,"The Instructor, and Select Weekly Advertiser.",0002763,ISWA,England,1809,1815,"Yes, fully",1809,1814,
174,The Instructor and Select Weekly Advertiser,Instructor and Select Weekly Advertiser,"The Instructor, and British and Foreign Monitor.",0002764,ISWA,England,1815,1815,"Yes, fully",1815,1815,
29,The Ipswich Journal,Ipswich Journal,The Ipswich Journal,0000071,IPJO,England,1800,1900,"Yes, more than in the list",1748,1900,"There are overlapping years between this journal and 0000191 --> to process specifically (1748-1750, 1763-1765, 1773, 1778, 1785, 1789-1790, 1800)"
601,The Ipswich Journal,Ipswich Journal,The Ipswich Journal,0000191,IPJO,,,,"Yes, not originally lsit",1720,1800,"Found Alias IPJL in data, Ipswich Journal already exists with Alias IPJO"
30,The Isle of Man Times,Isle of Man Times,The Isle of Man Times and General Advertiser,0000168,IMTS,England,1869,1900,"Yes, fully",1869,1900,
183,The Kingsland Times and General Advertiser,Kingsland Times and General Advertiser,The Kingsland Times and General Advertiser.,0003246,KTGA,England,1860,1862,"Yes, fully",1860,1862,
184,The Kingsland Times and General Advertiser,Kingsland Times and General Advertiser,The Hackney and Kingsland Times and North- East London Telegraph.,0003247,KTGA,England,1862,1863,"Yes, fully",1862,1863,
380,The Lady's Newspaper and Pictorial Times,Lady's Newspaper and Pictorial Times,The Lady's Newspaper and Pictorial Times. (1847-1863),0002254,LNPT,England,1847,1863,"Yes, fully",1847,1863,
381,The Lady's Own Paper,Lady's Own Paper,The Lady's Own Paper. (1866-1872),0002255,LOPA,England,1866,1872,"Yes, fully",1866,1872,
185,The Lancaster Gazette,Lancaster Gazette,"The Lancaster Gazetteer, and General Advertiser for Lancashire, Westmorland",0000171,LAGER,England,1801,1803,"Yes, fully",1801,1802,
186,The Lancaster Gazette,Lancaster Gazette,The Lancaster Gazette,0000488,LAGER,England,1803,1894,"Yes, fully",1804,1894,
447,The Lancaster Herald and Town and County Advertiser ,Lancaster Herald and Town and County Advertiser ,"The Lancaster Herald, and Town and County Advertiser.",0003046,LHTC,England,1831,1832,"Yes, fully",1831,1832,
577,The Leeds Mercury,Leeds Mercury,The Leeds Mercury,0000076,LEMR,,,,"Yes, not originally lsit",1807,1900,
32,The Little Times,Little Times,The Little Times.,0004689,LTIM,England,1867,1867,"Yes, fully",1867,1867,
187,The Liverpool Albion,Liverpool Albion,The Albion.,0003114,LIAL,England,1827,1871,"Yes, fully",1827,1871,
188,The Liverpool Albion,Liverpool Albion,The Liverpool Weekly Albion.,0003115,LIAL,England,1871,1880,"Yes, more than in the list",1871,1882,
189,The Liverpool Chronicle,Liverpool Chronicle 1767,The Liverpool Chronicle.,0004127,LIVC,England,1767,1768,"Yes, partially",1767,1767,
190,The Liverpool Telegraph,Liverpool Telegraph,The Liverpool Telegraph.,0003030,LITG,England,1836,1838,"Yes, fully",1836,1838,
661,The London & China Herald,London & China Herald,The London & China Herald.,0004311,LCHH,,,,"Yes, not originally lsit",1867,1870,
37,The London and Liverpool Advertiser,London and Liverpool Advertiser,The Daily Advertiser.,0004195,LLAD,England,1847,1847,"Yes, fully",1847,1847,
38,The London and Liverpool Advertiser,London and Liverpool Advertiser,The London and Liverpool Advertiser.,0004196,LLAD,England,1847,1847,"Yes, fully",1847,1847,
39,The London and Scottish Review,London and Scottish Review,The London and Scottish Review.,0004309,LSCR,England,1875,1875,"Yes, fully",1875,1875,
191,The London Chronicle,London Chronicle,The London Chronicle.,0002634,LNCH,England,1800,1822,"Yes, fully",1800,1822,
192,The London Chronicle and Country Record,London Chronicle and Country Record,"The London Chronicle, and Country Record.",0003007,LCCR,England,1853,1854,"Yes, fully",1853,1854,
193,The London Daily Guide and Stranger's Companion,London Daily Guide and Stranger's Companion,The London Daily Guide and Stranger's Companion :,0003010,LDGS,England,1859,1860,"Yes, fully",1859,1860,
194,The London Evening Post ,London Evening Post ,The London Evening Post.,0002635,LEVP,England,1805,1806,"Yes, fully",1805,1806,
195,The London Free Press,London Free Press,The London Free Press.,0002439,LFPR,England,1827,1827,"Yes, fully",1827,1827,
632,The London Illustrated Weekly,London Illustrated Weekly,"The London Illustrated Weekly : A family journal, etc",0004189,LIWL,,,,"Yes, not originally lsit",1874,1874,
198,The London Journal and Pioneer Newspaper,London Journal and Pioneer Newspaper,The London Journal and Pioneer Newspaper,0002636,LJPN,England,1845,1846,"Yes, fully",1845,1846,
199,The London Mercury,London Mercury,London Mercury.,0002788,LNM1,England,1826,1826,"Yes, fully",1826,1826,
200,The London Mercury,London Mercury 1828,The London Mercury.,0002815,LNM1,England,1828,1828,"Yes, fully",1828,1828,
201,The London Mercury 1836,London Mercury 1836,The London Mercury.,0002576,LNM2,England,1836,1836,"Yes, more than in the list",1836,1837,
202,The London Mercury 1847,London Mercury 1847,The London Mercury.,0002816,LNM3,England,1847,1848,"Yes, fully",1847,1848,
41,The London Mirror,London Mirror,The London Mirror,0004308,LONM,England,1871,1876,"Yes, fully",1871,1876,
204,The London Packet and New Lloyd's Evening Post,London Packet and New Lloyd's Evening Post,The London Packet; and New Lloyd's Evening Post.,0002577,LPNL,England,1801,1836,"Yes, fully",1801,1836,
205,The London Phalanx,London Phalanx,The London Phalanx,0002637,LOPH,England,1841,1843,"Yes, fully",1841,1843,
657,The London Scotsman,London Scotsman,The London Scotsman : A weekly journal of Anglo-Scottish news,0004222,LSCT,,,,"Yes, not originally lsit",1867,1871,
207,The London Telegraph,London Telegraph,The London Telegraph.,0002594,LTLG,England,1824,1825,"Yes, fully",1824,1825,
43,The London Weekly Investigator,London Weekly Investigator,The London Weekly Investigator,0004198,LWI,England,1855,1857,"Yes, fully",1855,1857,
44,The London Weekly Investigator,London Weekly Investigator,The War Investigator and Record of Current Events,0004197,LWI,England,1855,1855,"Yes, fully",1855,1855,
653,The Man about Town,Man about Town,"The Man about Town : A chronicle and review of the doings Or the day, at home and abroad.",0004217,MATN,,,,"Yes, not originally lsit",1869,1870,
469,The Manchester Examiner,The Manchester Examiner,The Manchester Examiner.,0003398,MEXA,England,1846,1848,"Yes, fully",1846,1848,
211,The Metropolitan,Metropolitan,The Metropolitan.,0003013,MTPN,England,1856,1857,"Yes, fully",1856,1857,
411,The Midland Examiner and Wolverhampton Times,Midland Examiner and Wolverhampton Times,"The Wolverhampton Times and Bilston, Willenhall, Wednesfield, and Sedgley Journal.",0002602,MEWT,England,1874,1875,"Yes, fully",1874,1875,
412,The Midland Examiner and Wolverhampton Times,Midland Examiner and Wolverhampton Times,The Wolverhampton and Midland Counties Advertiser.,0002603,MEWT,England,1875,1876,"Yes, fully",1875,1876,
413,The Midland Examiner and Wolverhampton Times,Midland Examiner and Wolverhampton Times,The Midland Examiner and Wolverhampton Times.,0002604,MEWT,England,1877,1878,"Yes, fully",1877,1878,
414,The Midland Examiner and Wolverhampton Times,Midland Examiner and Wolverhampton Times,The Midland Examiner and Times,0002605,MEWT,England,1877,1877,"Yes, fully",1877,1877,
212,The Monthly Times,Monthly Times,The Monthly Times.,0002436,MNTM,England,1842,1848,"Yes, fully",1842,1848,
213,The Monthly Times,Monthly Times,The English Mail.,0002437,MNTM,England,1848,1849,"Yes, fully",1848,1849,
214,The Morning Gazette,Morning Gazette,The Morning Gazette.,0003016,MOGA,England,1837,1837,"Yes, fully",1837,1837,
651,The Morning Mail,Morning Mail,The Morning Mail,0004215,MOMA,,,,"Yes, not originally lsit",1864,1865,
652,The Morning Mail,Morning Mail,The London General Advertiser,0004216,MOMA,,,,"Yes, not originally lsit",1865,1866,"Subtitle is ""With which is Incorporated the ""Morning Mail"""
647,The Nation,Nation,The Nation,0004209,NATN,,,,"Yes, not originally lsit",1824,1824,
216,The National,National,The National.,0003014,NTNL,England,1835,1835,"Yes, fully",1835,1835,
217,The National Protector,National Protector,The National Protector.,0003017,NTPR,England,1847,1847,"Yes, fully",1847,1847,
