,Normalized Working Title,Alias,Start Year,End Year,NLPs,BL Working Titles,Variant Titles
0,Aberdeen Press and Journal,ANJO,1789,1900,['0000031' '0000032'],['Aberdeen Press and Journal'],"['Aberdeen Journal and General Advertiser'
 'Aberdeen Weekly Journal and General Advertiser']"
1,Alston Herald and East Cumberland Advertiser,AHEC,1875,1880,['0003043'],['Alston Herald and East Cumberland Advertiser'],"['Alston Herald, and East Cumberland Advertiser.'
 'Alston Herald, and East Cumberland Advertiser']"
2,Baldwin's London Weekly Journal,BLWJ,1803,1836,['0002243'],"[""Baldwin's London Weekly Journal""]","[""Baldwin's London Weekly Journal, etc""]"
3,Baner ac Amserau Cymru,BNER,1857,1900,['0000036' '0000037'],['Baner ac Amserau Cymru'],['Baner Cymru' 'Baner ac Amserau Cymru']
4,Bargoed Journal,BGJO,1904,1912,['0003104' '0003548'],['Bargoed Journal'],"['Bargoed Journal' 'New Tredegar, Bargoed & Caerphilly Journal']"
5,Barnsley Telephone,BTEP,1918,1920,['0003041'],['Barnsley Telephone'],['Barnsley Telephone']
6,Bell's Family Newspaper,BFNP,1858,1858,['0002986'],"[""Bell's Family Newspaper""]","[""Bell's Family Newspaper.""]"
7,Bell's News,BELL,1855,1857,['0002789'],"[""Bell's News""]","[""Bell's News.""]"
8,Bell's Penny Dispatch,BPDH,1842,1842,['0002347'],"[""Bell's Penny Dispatch""]","[""Bell's Penny Dispatch, etc :""]"
9,Berrow's Worcester Journal,WOJL,1822,1896,['0000150'],"[""Berrow's Worcester Journal""]","[""Berrow's Worcester Journal""]"
10,Berthold's Political Handkerchief,BPHF,1831,1831,['0002778'],"[""Berthold's Political Handkerchief""]","[""Berthold's Political Handkerchief""]"
11,Birmingham Daily Post,BDPO,1857,1900,['0000033'],['Birmingham Daily Post'],['Birmingham Daily Post']
12,Blandford Weekly News,BWNW,1885,1892,['0003052' '0003053'],['Blandford Weekly News'],['Blandford Weekly News' 'Weekly News']
13,Bradford Observer,BROR,1834,1875,['0000155'],['Bradford Observer'],['The Bradford Observer']
14,Bridgend Chronicle,BGCH,1880,1894,['0003056' '0003057'],['Bridgend Chronicle'],"['Bridgend Chronicle, Cowbridge, Llantrisant, and Maesteg Advertiser.'
 'Bridgend & Neath Chronicle, and County of Glamorgan Advertiser.']"
15,Bridlington and Quay Gazette,BQGA,1877,1914,['0003059'],['Bridlington and Quay Gazette'],['Bridlington and Quay Gazette.' 'Bridlington and Quay Gazette']
16,"Bridport, Beaminster, and Lyme Regis Telegram",BBLT,1865,1886,['0003060'],"['Bridport, Beaminster, and Lyme Regis Telegram']","['Bridport, Beaminster, and Lyme Regis Telegram and Dorset, Somerset, and Devon Advertiser.'
 'Bridport, Beaminster, and Lyme Regis Telegram and Dorset, Somerset, and Devon Advertiser']"
17,Brief,BRIF,1877,1882,['0002769' '0002770' '0002771'],['Brief'],"['Brief' 'Brief News & Opinion' ""The Week's News""]"
18,Brighouse & Rastrick Gazette,BRGA,1879,1899,['0003062' '0003061'],['Brighouse & Rastrick Gazette'],"['Brighouse Gazette and Local Railway Guide.'
 'Brighouse & Rastrick Gazette.' 'Brighouse & Rastrick Gazette']"
19,Brighton Patriot,BRPT,1835,1839,['0000040'],['Brighton Patriot '],['Brighton Patriot and South of England Free Press']
20,British Army Despatch,BRAD,1848,1856,['0002811' '0002812' '0002813'],['British Army Despatch'],"['British Army Despatch, etc.'
 'British Army Despatch and Royal Naval Record.'
 'British Army Despatch and Nautical Standard.']"
21,British Mercury or Wednesday Evening Post,BRMW,1806,1825,['0002772' '0002773'],['British Mercury or Wednesday Evening Post'],"['British Mercury; or, Wednesday Evening Post'
 ""British Mercury, and Wednesday's Evening Post""]"
22,British Miner and General Newsman,BRMG,1862,1867,['0003537' '0003538' '0003539' '0003540' '0003541'],['British Miner and General Newsman'],"['British Miner and General Newsman (London, England : 1862)'
 'The Miner (London, England : 1863)'
 ""The Miner and Workman's Advocate (London, England : 1863)""
 ""The Workman's Advocate (London, England : 1865)""
 'The Commonwealth (London, England : 1866)']"
23,Caledonian Mercury,CNMR,1720,1867,['0000045' '0000046' '0000047'],['Caledonian Mercury'],"['Caledonian Mercury' 'Caledonian Mercury and Daily Express, The'
 'Caledonian Mercury, The']"
24,Charles Knight's Town & Country Newspaper,CKTC,1855,1856,['0002984' '0002985'],"[""Charles Knight's Town & Country Newspaper""]","[""Charles Knight's Town & Country Newspaper.""
 'The Town and Country Newspaper.']"
25,Chelsea & Pimlico Advertiser,CPAD,1860,1866,['0003244' '0003245'],['Chelsea & Pimlico Advertiser'],"['Chelsea, Pimlico and Brompton Advertiser.'
 'Chelsea & Pimlico Advertiser.']"
26,Cheshire Observer,CHOR,1854,1900,['0000157' '0000158' '0000485'],['Cheshire Observer'],"['Cheshire Observer'
 'Cheshire Observer and General Advertiser for Cheshire and North Wales']"
27,Christian Times,CHTI,1863,1871,['0002765' '0002766' '0002767'],['Christian Times '],"['The London Christian Times.' 'Illustrated Christian Times.'
 'Christian Times.']"
28,City of London Trade Protection Circular,CLTP,1848,1849,['0002418'],['City of London Trade Protection Circular'],['City of London Trade Protection Circular.']
29,Cleave's Weekly Police Gazette,CWPG,1835,1836,['0000356' '0002270'],"[""Cleave's Weekly Police Gazette""]","[""Cleave's Weekly Police Gazette. (26 Dec. 1835 - 3 Sept. 1836)""
 ""Cleave's Weekly Police Gazette and Journal of News, Politics, and Literature.  (17 Sept. - 1 Oct. 1836)""]"
30,Cobbett's Evening Post,CBEP,1820,1820,['0002348'],"[""Cobbett's Evening Post""]","[""Cobbett's Evening Post""]"
31,Cobbett's Weekly Political Register,CWPR,1802,1836,['0000050'],"[""Cobbett's Weekly Political Register ""]","[""Cobbett's Weekly Political Register""]"
32,Colored News,CLNW,1855,1855,['0002244'],['Colored News'],['Colored News']
33,Common Sense,CMSN,1824,1826,['0002992'],['Common Sense'],"['Common Sense (London, England : 1824)']"
34,Cradley Heath & Stourbridge Observer,CHSO,1864,1888,['0002972' '0002973' '0002974'],['Cradley Heath & Stourbridge Observer'],"['Cradley Heath & Stourbridge Observer.'
 'The Observer, Cradley Heath, Halesowen & District Chronicle.'
 'The Stourbridge Observer, Cradley Heath, Halesowen & District Chronicle.'
 'The Stourbridge Observer, Cradley Heath, Halesowen & District Chronicle']"
35,Daily Gazette For Middlesbrough,DGMH,1870,1900,['0000159' '0000486' '0000487'],['Daily Gazette For Middlesbrough'],['Daily Gazette For Middlesbrough']
36,Daily News,DNLN,1846,1900,['0000051'],['Daily News'],['Daily News']
37,Daily Politician,DPLT,1836,1836,['0002349' '0002350' '0002351'],['Daily Politician'],['Daily Politician' 'The Daily Politician' 'The Politician']
38,Darlington & Richmond Herald,DRHE,1867,1880,['0003400' '0003401'],['Darlington & Richmond Herald'],"['The Darlington & Stockton Telegraph, Richmond Herald, South Durham and North York Review.'
 'Darlington & Richmond Herald']"
39,Denton and Haughton Examiner,DHEX,1873,1892,['0002617' '0002618' '0002619' '0002620'],['Denton and Haughton Examiner'],"['The Denton, Haughton, & District Weekly News.'
 'Denton & Haughton Weekly News, and Audenshaw, Hooley Hill, and Dukinfield Advertiser.'
 'Denton Examiner, Audenshaw, Hooley Hill and Dukinfield Advertiser.'
 'Denton and Haughton Examiner, etc.'
 'Denton, Haughton, & District Weekly News'
 'Denton and Haughton Examiner, etc']"
40,Derby Mercury,DYMR,1727,1900,['0000052' '0000189'],['Derby Mercury'],['Derby Mercury']
41,Dewsbury Chronicle and West Riding Advertiser,DCWA,1869,1895,['0003408'],['Dewsbury Chronicle and West Riding Advertiser '],['Dewsbury Chronicle and West Riding Advertiser ']
42,Dorset County Express and Agricultural Gazette,DCEA,1858,1886,['0003091'],['Dorset County Express and Agricultural Gazette'],"['The Dorset County Express and Agricultural Gazette.'
 'Dorset County Express and Agricultural Gazette']"
43,Douglas Jerrold's Weekly Newspaper,DJWN,1846,1851,['0002409' '0002410' '0002411'],"[""Douglas Jerrold's Weekly Newspaper""]","[""Douglas Jerrold's Weekly Newspaper.""
 ""Jerrolds' Weekly News and Financial Economist.""
 'The Weekly News and Financial Economist.']"
44,Duckett's Dispatch,DDIS,1818,1818,['0003106' '0003107'],"[""Duckett's Dispatch""]","[""Duckett's Dispatch."" ""Duckett's Paper.""]"
45,Dundee Courier,DUCR,1844,1900,['0000164' '0000160' '0000161' '0000162' '0000269'],['Dundee Courier'],"['The Courier and Argus' 'Dundee Courier' 'Dundee Courier and Daily Argus'
 'Dundee Courier & Argus']"
46,East London Advertiser,ELAD,1862,1866,['0003248'],['East London Advertiser'],['East London Advertiser.']
47,East Wind,EAWN,1875,1876,['0004214'],['East Wind'],['East Wind']
48,Exeter Flying Post,TEFP,1800,1900,['0000103'],['Exeter Flying Post'],"[""Trewman's Exeter Flying Post, or, Plymouth and Cornish Advertiser""]"
49,Finsbury Free Press,FFPR,1868,1869,['0004140' '0004142' '0004143' '0004141'],['Finsbury Free Press'],"['Finsbury free press and general advertiser.'
 'Finsbury free press and Hackney herald.'
 'Finsbury free press and Islington advertiser.'
 'Finsbury free press, and Tower Hamlets and Hackney herald.']"
50,Fleming's British Farmers' Chronicle,FBFC,1823,1829,['0002804' '0002805' '0002806' '0002807'],"[""Fleming's British Farmers' Chronicle""]","[""Fleming's Weekly Express.""
 ""Fleming's Weekly Express and British Farmers' Chronicle.""
 ""Fleming's British Farmers' Chronicle.""
 ""The British Farmers' Chronicle, and Commercial Gazette.""]"
51,Fleming's Weekly Express,FWEX,1823,1826,['0002802' '0002803'],"[""Fleming's Weekly Express""]","[""Fleming's Weekly Express."" ""The Times' Express.""]"
52,Fonetic Nuz,FONU,1849,1849,['0002760'],['Fonetic Nuz'],['Fonetic Nuz']
53,Francis's Metropolitan News,FMNW,1859,1859,['0003003'],"[""Francis's Metropolitan News""]","[""Francis's Metropolitan News.""]"
54,Freeman's Journal,FRJO,1820,1900,['0000056'],"[""Freeman's Journal""]","[""Freeman's Journal and Daily Commercial Advertiser""]"
55,Glasgow Courier,GLCO,1802,1866,['0003089'],['Glasgow Courier'],['Glasgow Courier.']
56,Glasgow Herald,GWHD,1820,1900,['0000060'],['Glasgow Herald'],['Glasgow Herald']
57,Glasgow Sentinel,GLSE,1821,1823,['0002371'],['Glasgow Sentinel'],['Glasgow Sentinel.']
58,Golden Times,GOTM,1852,1852,['0003001'],['Golden Times'],['Golden Times :']
59,Halifax Comet,HLCM,1892,1904,['0003063' '0003064'],['Halifax Comet'],['Halifax Local Opinion.' 'Halifax Comet']
60,Hampshire Telegraph,HPTE,1799,1900,['0000068' '0000070' '0000069' '0000066'],['Hampshire Telegraph'],"['Hampshire Telegraph & Portsmouth Gazette'
 'Hampshire Telegraph and Naval Chronicle'
 'Hampshire Telegraph and Sussex Chronicle, etc'
 'Hampshire/Portsmouth Telegraph']"
61,Haslingden Gazette,HAGZ,1901,1926,['0003065'],['Haslingden Gazette'],['Haslingden Gazette']
62,Hetherington's Twopenny Dispatch,HTWD,1836,1836,['0002777'],"[""Hetherington's Twopenny Dispatch""]","[""Hetherington's Twopenny Dispatch, and People's Police Register ""]"
63,High Life in London,HLLN,1827,1828,['0002416' '0002417'],['High Life in London'],['High Life in London :' 'High Life: and Sunday Fashionable Post.']
64,Holt's Weekly Chronicle,HWCH,1837,1855,['0004688'],"[""Holt's Weekly Chronicle""]","[""Holt's Weekly Chronicle""]"
65,Hour,HOUR,1873,1876,['0002814'],['Hour'],['Hour.']
66,Huddersfield Chronicle,HUCE,1850,1900,['0000167'],['Huddersfield Chronicle'],['The Huddersfield Chronicle and West Yorkshire Advertiser']
67,Hull Packet,HLPA,1800,1886,['0000061' '0000062' '0000063' '0000064' '0000065'],['Hull Packet'],"['The Hull Packet'
 'The Hull Packet and Original Weekly Commercial, Literary and General Advertiser'
 'The Hull Packet and Humber Mercury'
 'The Hull Packet and East Riding Times']"
68,Illustrated Crystal Palace Gazette,ICPG,1853,1854,['0004186'],['Illustrated Crystal Palace Gazette'],['The Illustrated Crystal Palace Gazette']
69,Illustrated London Life,ILOL,1843,1843,['0003005'],['Illustrated London Life'],['Illustrated London Life.']
70,Illustrated Midland News,IMNW,1869,1871,['0004187'],['Illustrated Midland News'],['Illustrated Midland News']
71,Illustrated Sporting News and Theatrical and Musical Review,ISNT,1864,1869,['0002245' '0002246'],['Illustrated Sporting News and Theatrical and Musical Review'],"['Illustrated Sporting News and Theatrical and Musical Review (Illustrated Sporting News, Theatrical Review.) (15 March 1862 - 29 Oct.1864; 10 June - 18 Nov.1865)'
 'Illustrated Sporting and Theatrical News. (25 Nov.1865 - 19 March 1870)']"
72,Illustrated Times 1853,ILT53,1853,1854,['0004133'],['Illustrated Times 1853'],['Illustrated Times: A family newspaper for town and country.']
73,Illustrated Weekly Times,ILWT,1843,1843,['0003004'],['Illustrated Weekly Times'],['Illustrated Weekly Times.']
74,Irvine Express,IREX,1882,1886,['0003086' '0003087'],['Irvine Express'],['Irvine Express.' 'Irvine Express and North Ayrshire Post.']
75,Isle of Wight Observer,IWOR,1853,1900,['0000170'],['Isle of Wight Observer'],['Isle of Wight Observer']
76,Islington Times,ISTM,1857,1874,['0003251' '0003252' '0003253'],['Islington Times'],"['Islington Times.'
 'Islington Times and Finchley, Highgate, Hornsey and Holloway Herald.'
 'Islington Times and Finsbury Advertiser.']"
77,Jewish Record,JWRC,1868,1871,['0002573'],['Jewish Record'],['Jewish Record']
78,Johnson's Sunday Monitor,JSMN,1804,1829,['0002794' '0002795' '0002796' '0002797' '0002798'],"[""Johnson's Sunday Monitor""]","[""Johnson's British gazette and Sunday monitor.""
 ""Johnson's Sunday monitor, and British gazette.""
 ""Johnson's Sunday monitor and London recorder.""
 'Sunday monitor and London recorder.' 'Sunday monitor.']"
79,Kenilworth Advertiser,KEAD,1869,1923,['0003066'],['Kenilworth Advertiser'],['The Kenilworth Advertiser.' 'Kenilworth Advertiser']
80,Lancaster Standard and County Advertiser,LSCA,1893,1909,['0003047'],['Lancaster Standard and County Advertiser'],['Lancaster Standard and County Advertiser']
81,Leeds Intelligencer,LSIR,1754,1866,['0000193' '0000236' '0000268'],['Leeds Intelligencer'],"['Leeds Intelligencer' ""Wright's Leeds Intelligencer""]"
82,Leicester Chronicle,LECH,1827,1900,['0000172' '0000173'],['Leicester Chronicle'],['Leicester Chronicle']
83,Liverpool Mercury,LVMR,1811,1900,['0000081'],['Liverpool Mercury'],['Liverpool Mercury etc']
84,Liverpool Standard and General Commercial Advertiser,LSGA,1832,1856,['0002088' '0002089' '0002090'],['Liverpool Standard and General Commercial Advertiser'],"['The Liverpool Standard and General Commercial Advertiser'
 'Liverpool Standard and General Advertiser'
 'Liverpool Standard and General Commercial Advertiser']"
85,Liverpool Weekly Courier,LWC,1867,1903,['0003067'],['Liverpool Weekly Courier'],['Liverpool Weekly Courier.' 'Liverpool Weekly Courier']
86,Lloyd's Companion to the Penny Sunday Times and Peoples' Police Gazette,LCPP,1841,1847,['0002355'],"[""Lloyd's Companion to the Penny Sunday Times and Peoples' Police Gazette""]","['Lloyd\'s Companion to the ""Penny Sunday Times and Peoples\' Police Gazette"".  (19 Sept. 1841 - 3 Jan 1847)']"
87,Lloyd's Weekly Newspaper,LINP,1842,1900,['0000077' '0000078' '0000079'],"[""Lloyd's Weekly Newspaper""]","[""Lloyd's Illustrated Newspaper"" ""Lloyd's Weekly London Newspaper""
 ""Lloyd's Weekly Newspaper""]"
88,London & Provincial News and General Advertiser,LPNGA,1861,1867,['0004310'],['London & Provincial News and General Advertiser'],['The London & Provincial News and General Advertiser.']
89,London Dispatch,LNDH,1836,1839,['0000080'],['London Dispatch'],['London Dispatch']
90,London Halfpenny Newspaper,LHPN,1861,1861,['0002801'],['London Halfpenny Newspaper'],['London Halfpenny Newspaper.']
91,London Journal and General Advertiser for Town and Country,LJGA,1836,1837,['0002995'],['London Journal and General Advertiser for Town and Country'],['London Journal and General Advertiser for Town and Country.']
92,London Life,LNLF,1879,1879,['0004213'],['London Life'],['London Life']
93,London Moderator and National Adviser,LMNA,1813,1823,['0002761'],['London Moderator and National Adviser'],['London Moderator and National Adviser']
94,London Railway Newspaper,LRNW,1845,1845,['0003000'],['London Railway Newspaper'],['London Railway Newspaper.']
95,Manchester Examiner,MEXM,1846,1848,['0003398'],['Manchester Examiner'],['Manchester Examiner']
96,Manchester Times,MRTM,1828,1900,['0000502' '0000503' '0000504' '0000083' '0000501'],['Manchester Times'],"['Manchester Examiner and Times' 'Manchester Weekly Examiner & Times'
 'Manchester Weekly Times and Examiner'
 'Manchester Times and Gazette, The' 'Manchester Times']"
97,Mirror of the Times,MRTT,1801,1823,['0002356'],['Mirror of the Times'],['Mirror of the Times.  Various dates: (1800-1823)']
98,Morning Chronicle,MCLN,1801,1865,['0000082'],['Morning Chronicle'],['Morning Chronicle']
99,Morning Herald,MRHD,1801,1869,['0002408'],['Morning Herald (London)'],['Morning Herald. (1801-1869)']
100,Morning Post,MOPT,1801,1900,['0000174' '0000175'],['Morning Post'],['Morning Post']
101,"Nantwich, Sandbach & Crewe Star",NSCS,1888,1892,['0003406'],"['Nantwich, Sandbach & Crewe Star']","['Nantwich, Sandbach & Crewe Star.']"
102,National Register,NTRG,1810,1810,['0002644'],['National Register (London)'],['National Register']
103,"Nelson Chronicle, Colne Observer and Clitheroe Division News",NCCO,1890,1904,['0003077'],"['Nelson Chronicle, Colne Observer and Clitheroe Division News']","['Nelson Chronicle, Colne Observer and Clitheroe Division News']"
104,New Court Gazette,NCGA,1840,1846,['0002426' '0002427'],['New Court Gazette'],"['New Court Gazette :' 'The Court Gazette, and Fashionable Guide.']"
105,New Times,NWTM,1818,1830,['0002357' '0002358'],['New Times (London)'],['New Times.' 'The Morning Journal.']
106,Nonconformist Elector,NCEF,1847,1847,['0002359'],['Nonconformist Elector'],['Nonconformist Elector.']
107,North London Record,NLRD,1858,1869,['0003109' '0003110' '0003111' '0003112'],['North London Record'],"['North London Record.' 'The North London Record and General Advertiser.'
 'The Clerkenwell Journal and North London Record.']"
108,North Wales Chronicle,NRWC,1827,1900,['0000094'],['North Wales Chronicle'],['North Wales Chronicle']
109,Northern Echo,NREC,1870,1900,['0000087'],['Northern Echo'],['Northern Echo']
110,Northern Liberator,NRLR,1837,1840,['0000088'],['Northern Liberator'],['Northern Liberator']
111,Northern Star and Leeds General Advertiser,NRSR,1838,1852,['0000090' '0000091'],['Northern Star and Leeds General Advertiser'],"['Northern Star and Leeds General Advertiser'
 ""Northern Star and National Trades' Journal, The""]"
112,Northern Weekly Gazette,NWGZ,1860,1932,['0003069' '0003070' '0003071' '0003072' '0003073' '0003074' '0003075'],['Northern Weekly Gazette'],"['Stockton Gazette and Middlesbrough Times.'
 ""Middlesbro' & Stockton Gazette and General Advertiser.""
 'The Middlesbrough Gazette and General Advertiser.'
 'Middlesbrough & Stockton Gazette and General Advertiser.'
 'The Middlesbrough Gazette and General Advertiser'
 'The Weekly Gazette for Middlesbrough, Stockton, Hartlepool and Cleveland District'
 'The North-Eastern Weekly Gazette.' 'Northern Weekly Gazette']"
113,Old England,OLEN,1832,1842,['0002782'],['Old England'],['Old England']
