,Normalized Working Title,Alias,Start Year,End Year,NLPs,BL Working Titles,Variant Titles
237,The Liverpool Albion,LIAL,1827,1882,['0003114' '0003115'],['Liverpool Albion'],['The Albion.' 'The Liverpool Weekly Albion.']
238,The Liverpool Chronicle,LIVC,1767,1767,['0004127'],['Liverpool Chronicle 1767'],['The Liverpool Chronicle.']
239,The Liverpool Telegraph,LITG,1836,1838,['0003030'],['Liverpool Telegraph'],['The Liverpool Telegraph.']
240,The London & China Herald,LCHH,1867,1870,['0004311'],['London & China Herald'],['The London & China Herald.']
241,The London Chronicle,LNCH,1800,1822,['0002634'],['London Chronicle'],['The London Chronicle.']
242,The London Chronicle and Country Record,LCCR,1853,1854,['0003007'],['London Chronicle and Country Record'],"['The London Chronicle, and Country Record.']"
243,The London Daily Guide and Stranger's Companion,LDGS,1859,1860,['0003010'],"[""London Daily Guide and Stranger's Companion""]","[""The London Daily Guide and Stranger's Companion :""]"
244,The London Evening Post,LEVP,1805,1806,['0002635'],['London Evening Post '],['The London Evening Post.']
245,The London Free Press,LFPR,1827,1827,['0002439'],['London Free Press'],['The London Free Press.']
246,The London Illustrated Weekly,LIWL,1874,1874,['0004189'],['London Illustrated Weekly'],"['The London Illustrated Weekly : A family journal, etc']"
247,The London Journal and Pioneer Newspaper,LJPN,1845,1846,['0002636'],['London Journal and Pioneer Newspaper'],['The London Journal and Pioneer Newspaper']
248,The London Mercury,LNM1,1826,1828,['0002788' '0002815'],['London Mercury' 'London Mercury 1828'],['London Mercury.' 'The London Mercury.']
249,The London Mercury 1836,LNM2,1836,1837,['0002576'],['London Mercury 1836'],['The London Mercury.']
250,The London Mercury 1847,LNM3,1847,1848,['0002816'],['London Mercury 1847'],['The London Mercury.']
251,The London Mirror,LONM,1871,1876,['0004308'],['London Mirror'],['The London Mirror']
252,The London News Letter and Price Current,LNPC,1859,1865,['0004199'],['London News Letter and Price Current'],['The London News Letter and Price Current']
253,The London Packet and New Lloyd's Evening Post,LPNL,1801,1836,['0002577'],"[""London Packet and New Lloyd's Evening Post""]","[""The London Packet; and New Lloyd's Evening Post.""]"
254,The London Phalanx,LOPH,1841,1843,['0002637'],['London Phalanx'],['The London Phalanx']
255,The London Scotsman,LSCT,1867,1871,['0004222'],['London Scotsman'],['The London Scotsman : A weekly journal of Anglo-Scottish news']
256,The London Telegraph,LTLG,1824,1825,['0002594'],['London Telegraph'],['The London Telegraph.']
257,The London Weekly Investigator,LWI,1855,1857,['0004198' '0004197'],['London Weekly Investigator'],"['The London Weekly Investigator'
 'The War Investigator and Record of Current Events']"
258,The London and Liverpool Advertiser,LLAD,1847,1847,['0004195' '0004196'],['London and Liverpool Advertiser'],['The Daily Advertiser.' 'The London and Liverpool Advertiser.']
259,The London and Scottish Review,LSCR,1875,1875,['0004309'],['London and Scottish Review'],['The London and Scottish Review.']
260,The Man about Town,MATN,1869,1870,['0004217'],['Man about Town'],"['The Man about Town : A chronicle and review of the doings Or the day, at home and abroad.']"
261,The Manchester Examiner,MEXA,1846,1848,['0003398'],['The Manchester Examiner'],['The Manchester Examiner.']
262,The Metropolitan,MTPN,1856,1857,['0003013'],['Metropolitan'],['The Metropolitan.']
263,The Midland Examiner and Wolverhampton Times,MEWT,1874,1878,['0002602' '0002603' '0002604' '0002605'],['Midland Examiner and Wolverhampton Times'],"['The Wolverhampton Times and Bilston, Willenhall, Wednesfield, and Sedgley Journal.'
 'The Wolverhampton and Midland Counties Advertiser.'
 'The Midland Examiner and Wolverhampton Times.'
 'The Midland Examiner and Times']"
264,The Monthly Times,MNTM,1842,1849,['0002436' '0002437'],['Monthly Times'],['The Monthly Times.' 'The English Mail.']
265,The Morning Gazette,MOGA,1837,1837,['0003016'],['Morning Gazette'],['The Morning Gazette.']
266,The Morning Mail,MOMA,1864,1866,['0004215' '0004216'],['Morning Mail'],['The Morning Mail' 'The London General Advertiser']
267,The Nation,NATN,1824,1824,['0004209'],['Nation'],['The Nation']
268,The National,NTNL,1835,1835,['0003014'],['National'],['The National.']
269,The National Protector,NTPR,1847,1847,['0003017'],['National Protector'],['The National Protector.']
270,The National Standard,NTSD,1858,1860,['0002579'],['National Standard'],['The National Standard.']
271,The New Globe,NGLB,1823,1823,['0003018'],['New Globe'],['The New Globe.']
272,The New Weekly True Sun,NWTS,1836,1836,['0002256'],['New Weekly True Sun'],['The New Weekly True Sun. (2 April 1836)']
273,The Newcastle Courant,NECT,1710,1900,['0000085' '0000086' '0000489'],['Newcastle Courant '],"['The Newcastle Courant etc' 'The Newcastle Weekly Courant'
 'The Newcastle Gazette, or, Northern Courant']"
274,The News,TNEW,1805,1839,['0002257' '0002258' '0002259'],['The News (London)'],"['The News. (19 May-22 Dec.1805:  4 Jan.1807-29 June 1835)'
 'News and Sunday Herald. (5 July 1835-1 May 1837)'
 'The News and Sunday Globe. (7 May 1837-26 Aug.1839)']"
275,The North Cumberland Reformer,NCRF,1890,1898,['0002978' '0002979'],['North Cumberland Reformer'],['The North Cumberland Reformer' 'The Northern News']
276,The North Londoner,NLON,1869,1875,['0001797' '0003269' '0003270'],['North Londoner'],"['The North Londoner and St.Pancras and Holborn Guardian.'
 'The North Londoner.'
 'The North Londoner and Holborn & St.Pancras Guardian.']"
277,The North-West London Times,NWLT,1861,1866,['0003264'],['North-West London Times'],['The North-West London Times.']
278,The Northern Daily Times,NDTM,1853,1861,['0002083' '0002084' '0002085'],['Northern Daily Times'],['The Northern Daily Times' 'Northern Times' 'The Daily Times ']
279,The Northern Guardian,NOGU,1891,1902,['0003039'],['Northern Guardian (Hartlepool)'],['The Northern Guardian']
280,The Nottinghamshire Guardian,NOGN,1849,1900,['0000176'],['Nottinghamshire Guardian'],['The Nottinghamshire Guardian and Midland Advertiser']
281,The Nuneaton Times,NUNT,1875,1875,['0003078'],['Nuneaton Times'],['The Nuneaton Times.']
282,The Observer of the Times,OBTM,1821,1822,['0002639' '0002640' '0002641'],['Observer of the Times'],"['The Observer of the Times.'
 'The Observer of the Times and Aurora Borealis.']"
283,The Odd Fellow,ODFW,1839,1842,['0000095'],['The Odd Fellow'],"['Odd Fellow, The']"
284,The Operative,OPTE,1838,1839,['0000096'],['The Operative'],"['Operative, The']"
285,The Oracle and the Daily Advertiser,ORDA,1801,1809,['0002428' '0002429' '0002430'],['Oracle and the Daily Advertiser'],"['The Oracle and the Daily Advertiser.' 'The Daily Advertiser and Oracle.'
 'The Daily Advertiser, Oracle, and True Briton.']"
286,The Paddington Advertiser,PADV,1861,1866,['0003265'],['Paddington Advertiser'],['The Paddington Advertiser.']
287,The Pall Mall Gazette,PMGZ,1865,1900,['0000098'],['Pall Mall Gazette'],['The Pall Mall Gazette']
288,The Palladium,PLDM,1825,1829,['0003011' '0003012'],['Palladium 1825' 'Palladium 1829'],['The Palladium.']
289,The Patriot,PATR,1832,1866,['0002580'],['Patriot'],['The Patriot.']
290,The People's Hue and Cry or Weekly Police Register,PHCW,1834,1834,['0002581'],"[""People's Hue and Cry or Weekly Police Register""]","[""The People's Hue and Cry, or Weekly Police Register.""]"
291,The People's Paper,PPLP,1852,1858,['0002582'],"[""People's Paper""]","[""The People's Paper.""]"
292,The Pilot,PLTO,1808,1815,['0002775'],['Pilot (London)'],['The Pilot']
293,The Pioneer and Weekly Record of Movements,PWRM,1851,1851,['0004690'],['Pioneer and Weekly Record of Movements'],['The Pioneer and Weekly Record of Movements']
294,The Planet,PLNT,1837,1844,['0002583'],['Planet'],['The Planet.']
295,The Political Letter,POLL,1831,1831,['0002584'],['Political Letter'],['The Political Letter.']
296,The Political Observer,PLOB,1819,1819,['0003008'],['Political Observer'],['The Political Observer.']
297,The Pontypridd District Herald,PDHD,1878,1894,['0003082'],['Pontypridd District Herald' 'Pontypridd District Herald '],"['The Pontypridd District Herald and Rhondda Valley, Llantrisant, Caerphilly, and Mountain Ash News.'
 'The Pontypridd District Herald and Rhondda Valley, Llantrisant, Caerphilly, and Mountain Ash News']"
298,The Poor Man's Guardian,PMGU,1831,1835,['0000097'],"[""Poor Man's Guardian""]","[""Poor Man's Guardian, The""]"
299,The Porcupine,PORC,1800,1801,['0002586'],['Porcupine'],['The Porcupine.']
300,The Potteries Examiner,POEX,1871,1881,['0002612' '0002613'],['Potteries Examiner'],"['The Potteries Examiner :' 'The Staffordshire and Potteries Examiner.'
 'The Staffordshire and Potteries Examiner']"
301,The Press,TPRS,1859,1866,['0002645'],['Press (London)'],['The Press']
302,The Preston Chronicle and Lancashire Advertiser,PNCH,1831,1893,['0000099'],['Preston Chronicle'],['The Preston Chronicle and Lancashire Advertiser']
303,The Public Cause,PUCA,1811,1816,['0002753' '0002754' '0002755' '0002756'],['Public Cause'],"['The Public Cause.' 'The Correspondent and Public Cause.'
 'The Public Cause, or Westminster Reformer.'
 'The Public Cause and General Correspondent']"
304,The Radical,RADL,1831,1836,['0002587' '0002589'],['Radical 1831' 'Radical 1836'],['The radical.' 'The Radical.']
305,The Railway Bell and London Advertiser,RBLD,1844,1846,['0002996' '0002997' '0002998' '0002999'],['Railway Bell and London Advertiser'],"['Railway bell & advertiser.'
 'Railway bell and illustrated London advertiser.'
 'The railway bell and London advertiser.'
 'The railway bell and London family newspaper.']"
306,The Reformer,REFM,1831,1831,['0002588'],['Reformer'],['The reformer.']
307,The Representative,REPR,1822,1826,['0003022' '0002759'],['Representative 1822' 'Representative 1826'],['The Representative.' 'The Representative']
308,The Saint James's Chronicle,SJCH,1801,1866,['0002193'],"[""Saint James's Chronicle""]","[""The Saint James's Chronicle""]"
309,"The Satirist; or, the Censor of the Times",SATR,1831,1849,['0002415'],"['Satirist; or, the Censor of the Times']","['The Satirist; or, the Censor of the Times.']"
310,The Sheffield Independent,SHIN,1819,1900,['0000181' '0000490' '0000491'],['Sheffield Independent'],"['Sheffield and Rotherham Independent'
 'The Sheffield Independent, and Commercial Register'
 'The Sheffield Independent, and Yorkshire & Derbyshire Advertiser']"
311,The Shropshire Examiner,SHRE,1874,1877,['0002600'],['Shropshire Examiner'],['The Shropshire Examiner and all round the Wrekin advertiser.']
312,The Slaithwaite Guardian and Colne Valley News,SGCV,1896,1906,['0003094'],['Colne Valley Guardian'],['The Slaithwaite Guardian and Colne Valley News']
313,The South Staffordshire Examiner,SSEX,1874,1874,['0002599'],['South Staffordshire Examiner'],['The South Staffordshire Examiner.']
314,"The St. Helens Examiner, and Prescot Weekly News",SHEP,1879,1920,['0002610'],['St. Helens Examiner'],"['The St. Helens Examiner, and Prescot Weekly News.'
 'The St. Helens Examiner, and Prescot Weekly News']"
315,The Standard,SDLN,1827,1900,['0000183'],['The Standard'],['The Standard']
316,The Standard of Freedom,SOFR,1848,1851,['0002752'],['Standard of Freedom '],['The Standard of Freedom']
317,The Star,STGY,1869,1900,['0000184'],['The Star'],['The Star']
318,The Stockton Examiner and South Durham and North Yorkshire Herald,SESD,1878,1879,['0002607'],['Stockton Examiner and South Durham and North Yorkshire Herald'],"['The Stockton Examiner, and South Durham and North Yorkshire Herald']"
319,The Sun,TSUN,1801,1871,['0002194'],['Sun (London)'],['The Sun']
320,The Sun & Central Press,SCPR,1871,1874,['0002261' '0002262'],['Sun & Central Press'],['The Sun & Central Press :' 'The Central Press.']
321,The Sunday Evening Globe,SEGL,1836,1837,['0003015'],['Sunday Evening Globe'],['The Sunday Evening Globe.']
322,The Sunday Morning Herald,SMHE,1824,1824,['0002993'],['Sunday Morning Herald'],['The Sunday Morning Herald.']
323,The Sussex & Surrey Chronicle,SSCH,1823,1823,['0004211'],['Sussex & Surrey Chronicle'],"['The Sussex & Surrey Chronicle, or, Brighton, Lewes, Chichester, and Guildford Express']"
324,The Tamworth Miners' Examiner and Working Men's Journal,TMEW,1873,1876,['0002615' '0002616'],"[""Tamworth Miners' Examiner and Working Men's Journal""]","[""The Tamworth Miners' Examiner and Working Men's Journal.""
 ""The Tamworth Examiner and Working Men's Journal.""]"
325,The Tichborne Gazette,TIGA,1872,1875,['0004193'],['Tichborne Gazette'],['The Tichborne Gazette']
326,The Tichborne News and Anti-Oppression Journal,TNAJ,1872,1872,['0004194'],['Tichborne News and Anti-Oppression Journal'],['The Tichborne News and Anti-Oppression Journal : A weekly newspaper advocating fair play for everyman']
327,The Tower Hamlets Mail,THML,1857,1858,['0003108'],['Tower Hamlets Mail'],['The Tower Hamlets Mail.']
328,The Trades' Free Press,TFPR,1825,1831,['0002420' '0002421' '0002422'],"[""Trades' Free Press""]","[""The Trades' Newspaper and Mechanics' Weekly Journal.""
 ""The Trades' Free Press.""
 'The Weekly Free Press of Trade, Manufactures, and Commerce.']"
329,The True Briton,TRBT,1801,1804,['0003026'],['True Briton'],['The True Briton.']
330,The True Sun,TRSN,1832,1837,['0002590'],['True Sun'],['The True Sun.']
331,The Union,TUNI,1857,1862,['0002994'],['Union'],['The Union.']
332,The Universe,UNIV,1846,1848,['0002591'],['Universe'],['The Universe.']
333,The Verulam,VERL,1828,1828,['0004687'],['Verulam'],"['The Verulam : A scientific, literary, and political newspaper']"
334,The Vindicator,VIND,1859,1859,['0003019'],['Vindicator (London)'],['The Vindicator.']
335,The Warrington Examiner,WAEX,1869,1909,['0002597' '0002598'],['Warrington Examiner'],"['The Warrington Examiner.' 'The Warrington & Mid-Cheshire Examiner.'
 'The Warrington & Mid-Cheshire Examiner']"
336,The Warwickshire Herald,WAHD,1884,1899,['0003051'],['Warwickshire Herald'],['The Warwickshire Herald.']
337,The Watchman,WTCH,1827,1828,['0003002'],['Watchman'],['The Watchman.']
338,The Week's News,WKNW,1872,1879,['0002774'],"[""Week's News (London)""]","[""The Week's News""]"
339,The Weekly Advertiser,WKAD,1865,1866,['0004221'],['Weekly Advertiser'],['The Weekly Advertiser']
340,The Weekly Chronicle,WKCH,1836,1867,['0002264' '0002265' '0002266' '0002267' '0002268'],['Weekly Chronicle (London)'],"['The Weekly Chronicle.' 'The Weekly News and Chronicle.'
 'The weekly chronicle and register.'
 'The Weekly Chronicle and Register of Banking, Insurance, Railway and Mining Companies, Trade and Commerce.']"
341,The Weekly Echo,WKEC,1873,1874,['0004220'],['Weekly Echo'],['The Weekly Echo : An epitome of all the news of the week']
342,The Weekly Globe,WKGB,1824,1825,['0002991'],['Weekly Globe'],['The Weekly Globe.']
343,The Weekly Independent,WKIN,1875,1876,['0004218'],['Weekly Independent'],['The Weekly Independent']
344,The Weekly Intelligence,WKIT,1818,1818,['0002412'],['Weekly Intelligence'],['The Weekly Intelligence.']
345,The Weekly Journal,WKJL,1901,1909,['0002980'],['Weekly Journal (Hartlepool)'],['The Weekly Journal']
346,The Weekly Mail,WKML,1858,1860,['0002800'],['Weekly Mail (London)'],['The Weekly Mail.']
347,The Weekly Review,WKRV,1862,1881,['0004305' '0004306' '0004307'],['Weekly Review'],"['The Weekly Review' 'The London and Edinburgh Weekly Review'
 'The Weekly Review : (The Weekly Review and Presbyterian Record.)']"
348,The Weekly Star and Bell's News,WSBN,1857,1857,['0002790' '0002792' '0002793' '0002791'],"[""Weekly Star and Bell's News"" ""Weekly Star and Bell's News ""]","['The Star.' ""The Weekly Star and Bell's News.""
 'The Weekly Star and Universal Messenger.' 'The Weekly Star.']"
349,The Wellington Gazette and Military Chronicle,WGMC,1869,1880,['0004138'],['Wellington Gazette and Military Chronicle'],['The Wellington Gazette and Military Chronicle']
350,The West End News,WENW,1859,1860,['0003009'],['West End News'],['The West End News :']
351,The West London Times,WLTM,1860,1867,['0003249'],['West London Times'],['The West London Times.']
352,The Westminster Times,WMTM,1863,1866,['0003250'],['Westminster Times'],['The Westminster Times.']
353,The Weymouth Telegram,WMTG,1860,1901,['0002981' '0002982'],['Weymouth Telegram'],"['The Weymouth, Portland and Dorchester Telegram.'
 'The Weymouth, Portland and Dorchester Telegram' 'The Telegram']"
354,The World,WRLD,1859,1859,['0004685'],['World'],['The World']
355,The World and Fashionable Sunday Chronicle,WFSC,1818,1818,['0003021'],['World and Fashionable Sunday Chronicle'],['The World and Fashionable Sunday Chronicle.']
356,The York Herald,YOHD,1801,1900,['0000186' '0000497' '0000498' '0000499' '0000500'],['York Herald'],"['The York Herald' 'The York Herald, County and General Advertiser'
 'The York Herald and General Advertiser'
 'The Yorkshire Herald and the York Herald']"
357,Town & Country Daily Newspaper,TCDN,1873,1873,['0002386'],['Town & Country Daily Newspaper'],['Town & Country Daily Newspaper.']
358,Town Talk,TTLK,1858,1859,['0002592'],['Town Talk'],['Town Talk.']
359,Town Talk 1822,TTK22,1822,1822,['0004692' '0004693'],['Town Talk (1822)'],['Town Talk' 'Town Talk & Observer of the Times']
360,Town and Country Advertiser,TCAA,1834,1836,['0004204' '0004205' '0004206' '0004207' '0004208'],['Town and Country Advertiser'],"['Town and Country Advertiser'
 'The General Advertiser and Town and Country Price Current'
 'The General Advertiser for Town and Country'
 'The General Advertiser and Literary Varieties for Town & Country'
 'The General Advertiser and London Journal']"
361,Trade Protection Record,TPRD,1849,1850,['0002419'],['Trade Protection Record'],"['Trade Protection Record (London, England : 1849)']"
362,Weekly Times,WKTN,1826,1832,['0002779' '0002780' '0002781'],['Weekly Times (London)'],['Weekly Times.' 'The Liberal.']
363,Weekly True Sun,WKTS,1833,1843,['0002380' '0002381' '0002382'],['Weekly True Sun'],['Weekly True Sun.' 'The Statesman :' 'The British Queen and Statesman.']
364,West Londoner and Select Advertiser for the Borough of Marylebone,WLSA,1870,1872,['0004132'],['West Londoner'],['West Londoner and Select Advertiser for the Borough of Marylebone :']
365,Western Mail,WMCF,1869,1900,['0000104'],['Western Mail'],['Western Mail']
366,Westminster Journal and Old British Spy,WJBS,1805,1810,['0002269'],['Westminster Journal and Old British Spy'],['Westminster Journal and Old British Spy. (31 Aug./7 Sept.1805 - 22/29 Dec.1810)']
367,Whitehall Evening Post,WHEP,1801,1801,['0002776'],['Whitehall Evening Post'],['Whitehall Evening Post']
368,Widnes Examiner,WDEX,1876,1920,['0002601'],['Widnes Examiner'],['Widnes Examiner.' 'Widnes Examiner']
369,Wooler's British Gazette,WBGZ,1819,1823,['0002762'],"[""Wooler's British Gazette""]","[""Wooler's British Gazette""]"
370,Wrexham Advertiser,WRWA,1854,1900,['0000185' '0000496'],['Wrexham Advertiser'],['Wrexham Weekly Advertiser' 'Wrexham Advertiser']
371,Y Genedl Gymreig,GNDL,1877,1900,['0000059'],['Y Genedl Gymreig'],['Y Genedl Gymreig']
372,Y Goleuad,GLAD,1869,1900,['0000058'],['Y Goleuad'],['Y Goleuad']
373,York House Papers,YOHP,1879,1881,['0004139'],['York House Papers'],"['York House Papers: A weekly journal for the families of the Army, Navy, and auxiliary forces']"
